	loss	val_loss	learning_rate	epochs	kappa
0	681.1472272600446	679.7151043231671	1e-05	0	0.01
1	678.2222638811384	677.1007220928485	1e-05	1	0.01
2	675.6723324730283	674.474135178786	1e-05	2	0.01
3	673.3356201171875	671.6671565129207	1e-05	3	0.01
4	671.1073027111236	668.8248877892128	1e-05	4	0.01
5	669.0507667178199	666.3186997633713	1e-05	5	0.01
6	667.0725458054316	664.0175851675181	1e-05	6	0.01
7	665.1829229445684	662.195073054387	1e-05	7	0.01
8	663.4572067987351	660.7020639272837	1e-05	8	0.01
9	661.843408203125	659.4323401817909	1e-05	9	0.01
10	660.303265671503	658.4526695838341	1e-05	10	0.01
11	658.8444597516741	657.0734323354868	1e-05	11	0.01
12	657.5550624302456	656.0316748985878	1e-05	12	0.01
13	656.3684622628348	654.9203538161057	1e-05	13	0.01
14	655.1917172386533	653.7347740760216	1e-05	14	0.01
15	654.140702311198	652.5030423677885	1e-05	15	0.01
16	653.2050467354911	651.9539536696213	1e-05	16	0.01
17	652.2653802780878	651.1600341796875	1e-05	17	0.01
18	651.5312941778274	650.0679955115685	1e-05	18	0.01
19	650.7383138020833	649.8494732196515	1e-05	19	0.01
20	650.0782052176339	649.1707881047175	1e-05	20	0.01
21	649.3689534505208	648.6991788423978	1e-05	21	0.01
22	648.8013683500744	647.8762394831731	1e-05	22	0.01
23	648.225445265997	647.3902963491587	1e-05	23	0.01
24	647.7712675548735	646.9190908578726	1e-05	24	0.01
25	647.3005760556175	646.6060626690204	1e-05	25	0.01
26	646.9223818824405	646.2938913198618	1e-05	26	0.01
27	646.5003598167783	645.8060631385216	1e-05	27	0.01
28	646.1712646484375	645.2544884314904	1e-05	28	0.01
29	645.7522059849331	645.0001807579628	1e-05	29	0.01
30	645.4424368722098	644.9353942871094	1e-05	30	0.01
31	645.0992431640625	644.4737337552584	1e-05	31	0.01
32	644.7985711960565	644.1906198354868	1e-05	32	0.01
33	644.5641607375372	643.9717759352463	1e-05	33	0.01
34	644.3184907459078	643.8663658728966	1e-05	34	0.01
35	644.1271013532366	643.5105849045974	1e-05	35	0.01
36	643.7894409179687	643.3873267540565	1e-05	36	0.01
37	643.583907063802	643.1072927621694	1e-05	37	0.01
38	643.4229439871651	642.9796565129207	1e-05	38	0.01
39	643.2049653552828	642.8699599045974	1e-05	39	0.01
40	643.0459838867188	642.5536405123197	1e-05	40	0.01
41	642.8266863141741	642.4999483548678	1e-05	41	0.01
42	642.6198236374628	642.0762516902043	1e-05	42	0.01
43	642.482281203497	642.0306326059194	1e-05	43	0.01
44	642.3021658761161	641.9528010441707	1e-05	44	0.01
45	642.1089919317336	641.839111328125	1e-05	45	0.01
46	641.9714390345982	641.4902155949519	1e-05	46	0.01
47	641.9103143601191	641.4207599346454	1e-05	47	0.01
48	641.7678437732515	641.2764305701622	1e-05	48	0.01
49	641.6371041434152	641.3306814340444	1e-05	49	0.01
50	641.4829711914062	641.1722998985878	1e-05	50	0.01
51	641.3909342447917	641.003903902494	1e-05	51	0.01
52	641.2900628952752	640.9368919959435	1e-05	52	0.01
53	641.1175141834077	640.7994642991287	1e-05	53	0.01
54	641.0674891880581	640.631831242488	1e-05	54	0.01
55	640.9041253952753	640.5398183969351	1e-05	55	0.01
56	640.8354248046875	640.4999342698318	1e-05	56	0.01
57	640.805517578125	640.4821049616887	1e-05	57	0.01
58	640.6306320917039	640.4789851262019	1e-05	58	0.01
59	640.5381713867188	640.227536714994	1e-05	59	0.01
60	640.5080374581473	640.2671133188101	1e-05	60	0.01
61	640.4732142857143	640.1385850172776	1e-05	61	0.01
62	640.3345650809151	640.0989591158353	1e-05	62	0.01
63	640.2809204101562	639.8833571213943	1e-05	63	0.01
64	640.2119454520089	639.8963482196515	1e-05	64	0.01
65	640.0659993489584	639.780024601863	1e-05	65	0.01
66	640.0807384672619	639.881601186899	1e-05	66	0.01
67	639.9618687220982	639.6272676908053	1e-05	67	0.01
68	639.9180867513021	639.7157850999099	1e-05	68	0.01
69	639.8116937546503	639.5709862342247	1e-05	69	0.01
70	639.7487339564732	639.4596487192007	1e-05	70	0.01
71	639.7681431361607	639.633791410006	1e-05	71	0.01
72	639.6847104027157	639.4659071702224	1e-05	72	0.01
73	639.5339372907366	639.5614952674279	1e-05	73	0.01
74	639.5982660202753	639.2842782827524	1e-05	74	0.01
75	639.5330775669643	639.0260150615985	1e-05	75	0.01
76	639.4046927315849	639.2743342472957	1e-05	76	0.01
77	639.4326485770089	639.0514432466947	1e-05	77	0.01
78	639.2923839750744	639.2164752666766	1e-05	78	0.01
79	639.2650582449777	639.0930246206431	1e-05	79	0.01
80	639.2769403366815	639.0138432429387	1e-05	80	0.01
81	639.1955217633929	639.1500103290265	1e-05	81	0.01
82	639.1362263997396	638.8724013108474	1e-05	82	0.01
83	639.0571858723958	638.9242459810697	1e-05	83	0.01
84	639.0158993675595	638.9155461237981	1e-05	84	0.01
85	639.0529593331473	638.9076092059796	1e-05	85	0.01
86	639.0157424200149	638.8589782714844	1e-05	86	0.01
87	638.9896094912574	638.801511324369	1e-05	87	0.01
88	638.8626708984375	638.7195035494291	1e-05	88	0.01
89	638.8599853515625	638.612060546875	1e-05	89	0.01
90	638.7854997907366	638.5832190880409	1e-05	90	0.01
91	638.7723336356026	638.4480379544772	1e-05	91	0.01
92	638.7407290504092	638.5079932579628	1e-05	92	0.01
93	638.6655104864211	638.4883000300481	1e-05	93	0.01
94	638.6339274088542	638.536365215595	1e-05	94	0.01
95	638.6269095284598	638.4800649789663	1e-05	95	0.01
96	638.6122064499627	638.3943692720853	1e-05	96	0.01
97	638.5125435965401	638.378176175631	1e-05	97	0.01
98	638.4964256649926	638.2961097130409	1e-05	98	0.01
99	638.475091843378	638.1946833683894	1e-05	99	0.01
