	loss	val_loss	learning_rate	epochs	kappa
0	704.6895892803485	698.8814462515024	1e-05	0	0.01
1	695.3790306678185	691.1184692382812	1e-05	1	0.01
2	688.4802140455979	685.1078725961538	1e-05	2	0.01
3	682.59496483436	680.2952927809495	1e-05	3	0.01
4	678.1940166766827	676.1922090970553	1e-05	4	0.01
5	674.3352884145884	672.9984224759615	1e-05	5	0.01
6	671.2499870887169	670.6536442683293	1e-05	6	0.01
7	668.5825981727013	668.4238750751202	1e-05	7	0.01
8	666.353763286884	666.334946852464	1e-05	8	0.01
9	664.3347895695613	664.7926260141226	1e-05	9	0.01
10	662.6982069749099	663.4520263671875	1e-05	10	0.01
11	661.1492098294772	662.1194270207332	1e-05	11	0.01
12	659.7908665583684	660.5460158128005	1e-05	12	0.01
13	658.7258605957031	659.5601008488582	1e-05	13	0.01
14	657.6661705603966	658.3939584585337	1e-05	14	0.01
15	656.717036320613	657.6901573768029	1e-05	15	0.01
16	655.8111384465144	656.6134221003606	1e-05	16	0.01
17	655.0001537616437	655.5223060021034	1e-05	17	0.01
18	654.315677349384	654.9395329402043	1e-05	18	0.01
19	653.6277735783503	654.2471689077524	1e-05	19	0.01
20	652.8650958721454	653.2592585637019	1e-05	20	0.01
21	652.3012214073768	652.530526968149	1e-05	21	0.01
22	651.71046095628	652.1124596228966	1e-05	22	0.01
23	651.2171877347506	651.4245182917668	1e-05	23	0.01
24	650.6487145057091	650.8697697566106	1e-05	24	0.01
25	650.0078336275541	650.4098886343149	1e-05	25	0.01
26	649.6988842303937	649.933119553786	1e-05	26	0.01
27	649.1955672044021	649.5653217022235	1e-05	27	0.01
28	648.7912245530349	649.012441781851	1e-05	28	0.01
29	648.2899122971755	648.3411348783053	1e-05	29	0.01
30	647.9336923452524	648.1710205078125	1e-05	30	0.01
31	647.5303438626803	647.543442946214	1e-05	31	0.01
32	647.1971177321213	647.3241858849159	1e-05	32	0.01
33	646.7968538724459	646.7841327373798	1e-05	33	0.01
34	646.4725999098557	646.4752009465144	1e-05	34	0.01
35	646.1144221379207	646.2943396935096	1e-05	35	0.01
36	645.7637035663312	645.7256422776443	1e-05	36	0.01
37	645.4998274583083	645.47900390625	1e-05	37	0.01
38	645.1444643460787	645.054696890024	1e-05	38	0.01
39	644.9186518742488	644.8438251201923	1e-05	39	0.01
40	644.5933227539062	644.6487708458534	1e-05	40	0.01
41	644.3407017634465	644.3021803635818	1e-05	41	0.01
42	644.1084207388071	644.0254704402043	1e-05	42	0.01
43	643.8130739652194	643.6367985652043	1e-05	43	0.01
44	643.5412245530349	643.4707406850962	1e-05	44	0.01
45	643.2940169114333	643.1037081204928	1e-05	45	0.01
46	643.0320528470553	642.9252647986779	1e-05	46	0.01
47	642.7898876483624	642.8547175480769	1e-05	47	0.01
48	642.556147648738	642.433091383714	1e-05	48	0.01
49	642.3616685133713	642.2469623272235	1e-05	49	0.01
50	642.1636822040265	641.960195688101	1e-05	50	0.01
51	641.9280958909255	641.9034001277043	1e-05	51	0.01
52	641.7446019099309	641.6113985501803	1e-05	52	0.01
53	641.5124887319712	641.5005727914663	1e-05	53	0.01
54	641.3535520113431	641.1892371544471	1e-05	54	0.01
55	641.123536330003	641.1305495042068	1e-05	55	0.01
56	640.925539456881	640.8665912334735	1e-05	56	0.01
57	640.7950110802284	640.6019521859976	1e-05	57	0.01
58	640.6072622445913	640.501948429988	1e-05	58	0.01
59	640.4465695894681	640.4002122145432	1e-05	59	0.01
60	640.2700089674729	640.2858651968149	1e-05	60	0.01
61	640.0589893047626	640.1688232421875	1e-05	61	0.01
62	640.0037325345553	639.8873478816106	1e-05	62	0.01
63	639.8285170335037	639.8368577223557	1e-05	63	0.01
64	639.6653994046725	639.5234891451322	1e-05	64	0.01
65	639.4810955341046	639.4718017578125	1e-05	65	0.01
66	639.3547644981971	639.2622398963341	1e-05	66	0.01
67	639.2307340181791	639.137704702524	1e-05	67	0.01
68	639.0723313551682	639.1315636268029	1e-05	68	0.01
69	638.959966806265	639.080078125	1e-05	69	0.01
70	638.792722261869	638.8260169396034	1e-05	70	0.01
71	638.7053480881912	638.6018864558293	1e-05	71	0.01
72	638.6010519174429	638.520982008714	1e-05	72	0.01
73	638.4626593956581	638.3615112304688	1e-05	73	0.01
74	638.3062427227313	638.2950298602765	1e-05	74	0.01
75	638.252693763146	638.2172569861779	1e-05	75	0.01
76	638.045406634991	638.0276442307693	1e-05	76	0.01
77	637.989513690655	637.8112276517428	1e-05	77	0.01
78	637.8488992544321	637.7909123347356	1e-05	78	0.01
79	637.7249755859375	637.679692195012	1e-05	79	0.01
80	637.6035860501803	637.4720036433293	1e-05	80	0.01
81	637.5330528846154	637.4800086388221	1e-05	81	0.01
82	637.4232565072866	637.4337721604568	1e-05	82	0.01
83	637.3480001596304	637.2952740009015	1e-05	83	0.01
