	drug	cell line	time point	count
0	1,2-propylene-glycol	HA1E	24	2
1	1,2-propylene-glycol	HA1E	6	2
2	15-delta-prostaglandin-j2	VCAP	24	4
3	15-delta-prostaglandin-j2	VCAP	48	3
4	15-delta-prostaglandin-j2	VCAP	6	4
5	3-amino-benzamide	A549	24	10
6	3-amino-benzamide	A549	6	10
7	3-amino-benzamide	MCF7	24	10
8	3-amino-benzamide	MCF7	6	10
9	7-nitroindazole	A375	6	2
10	7-nitroindazole	A549	24	2
11	7-nitroindazole	A549	6	2
12	7-nitroindazole	HA1E	6	2
13	7-nitroindazole	HCC515	6	2
14	7-nitroindazole	HEPG2	6	2
15	7-nitroindazole	HT29	6	2
16	7-nitroindazole	MCF7	24	2
17	7-nitroindazole	MCF7	6	2
18	7-nitroindazole	PC3	24	2
19	7-nitroindazole	PC3	6	2
20	7-nitroindazole	VCAP	24	2
21	7-nitroindazole	VCAP	6	2
22	A-23187	HEPG2	24	2
23	A-23187	HEPG2	6	2
24	A-23187	HUH7	24	2
25	A-23187	HUH7	6	2
26	A-23187	PHH	24	2
27	A-23187	VCAP	24	3
28	A-23187	VCAP	6	3
29	A-443644	BT20	24	3
30	A-443644	BT20	6	4
31	A-443644	HS578T	24	3
32	A-443644	HS578T	6	3
33	A-443644	MCF10A	24	3
34	A-443644	MCF10A	6	4
35	A-443644	MCF7	24	4
36	A-443644	MCF7	6	4
37	A-443644	MDAMB231	24	3
38	A-443644	MDAMB231	6	4
39	A-443644	SKBR3	24	3
40	A-443644	SKBR3	6	4
41	ABL1	HEK293T	48	3
42	ABT-737	BT20	24	4
43	ABT-737	BT20	6	4
44	ABT-737	HS578T	24	4
45	ABT-737	HS578T	6	4
46	ABT-737	MCF10A	24	4
47	ABT-737	MCF10A	6	4
48	ABT-737	MCF7	24	5
49	ABT-737	MCF7	6	5
50	ABT-737	MDAMB231	24	4
51	ABT-737	MDAMB231	6	4
52	ABT-737	SKBR3	24	4
53	ABT-737	SKBR3	6	4
54	ACDPP	VCAP	24	2
55	ACDPP	VCAP	6	2
56	ACHE	VCAP	4	2
57	ACVR1	HEK293T	48	2
58	ADM	VCAP	4	2
59	AG-14361	A375	24	2
60	AG-14361	A375	6	2
61	AG-14361	A549	24	10
62	AG-14361	A549	6	10
63	AG-14361	HA1E	24	2
64	AG-14361	HA1E	6	2
65	AG-14361	HCC515	6	2
66	AG-14361	HT29	24	2
67	AG-14361	HT29	6	2
68	AG-14361	MCF7	24	10
69	AG-14361	MCF7	6	10
70	AG-14361	PC3	24	2
71	AG-14361	PC3	6	2
72	AG-14361	VCAP	24	2
73	AG-14361	VCAP	6	2
74	AG-490	MCF7	24	4
75	AG-490	MCF7	6	4
76	AGT	VCAP	4	2
77	AHSG	VCAP	4	2
78	AIMP1	VCAP	4	2
79	AKT-inhibitor-1-2	BT20	24	4
80	AKT-inhibitor-1-2	BT20	6	4
81	AKT-inhibitor-1-2	HS578T	24	4
82	AKT-inhibitor-1-2	HS578T	6	4
83	AKT-inhibitor-1-2	MCF10A	24	4
84	AKT-inhibitor-1-2	MCF10A	6	4
85	AKT-inhibitor-1-2	MCF7	24	5
86	AKT-inhibitor-1-2	MCF7	6	5
87	AKT-inhibitor-1-2	MDAMB231	24	4
