	drug	cell line	time point	count
88	AKT-inhibitor-1-2	MDAMB231	6	4
89	AKT-inhibitor-1-2	SKBR3	24	4
90	AKT-inhibitor-1-2	SKBR3	6	4
91	AKT-inhibitor-IV	A549	24	9
92	AKT-inhibitor-IV	A549	6	9
93	AKT-inhibitor-IV	MCF7	24	9
94	AKT-inhibitor-IV	MCF7	6	9
95	ALK	HEK293T	48	2
96	ALW-II-38-3	BT20	24	4
97	ALW-II-38-3	BT20	6	4
98	ALW-II-38-3	HS578T	24	4
99	ALW-II-38-3	HS578T	6	4
100	ALW-II-38-3	MCF10A	24	4
101	ALW-II-38-3	MCF10A	6	4
102	ALW-II-38-3	MCF7	24	4
103	ALW-II-38-3	MCF7	6	4
104	ALW-II-38-3	MDAMB231	24	4
105	ALW-II-38-3	MDAMB231	6	4
106	ALW-II-38-3	SKBR3	24	4
107	ALW-II-38-3	SKBR3	6	4
108	ALW-II-49-7	BT20	24	4
109	ALW-II-49-7	BT20	6	4
110	ALW-II-49-7	HS578T	24	4
111	ALW-II-49-7	HS578T	6	4
112	ALW-II-49-7	MCF10A	24	4
113	ALW-II-49-7	MCF10A	6	4
114	ALW-II-49-7	MCF7	24	4
115	ALW-II-49-7	MCF7	6	4
116	ALW-II-49-7	MDAMB231	24	4
117	ALW-II-49-7	MDAMB231	6	4
118	ALW-II-49-7	SKBR3	24	4
119	ALW-II-49-7	SKBR3	6	4
120	AM-580	A549	24	9
121	AM-580	A549	6	9
122	AM-580	MCF7	24	12
123	AM-580	MCF7	6	12
124	AM-580	NKDBA	24	4
125	ANG	VCAP	4	2
126	ANGPT2	VCAP	4	2
127	APCS	VCAP	4	2
128	APOA4	VCAP	4	2
129	APOE	VCAP	4	2
130	AR	BT20	1	2
131	AR	BT20	24	2
132	AR	BT20	3	2
133	AR	BT20	6	2
134	AR	HS578T	1	2
135	AR	HS578T	24	2
136	AR	HS578T	3	2
137	AR	HS578T	6	2
138	AR	MCF10A	1	2
139	AR	MCF10A	24	2
140	AR	MCF10A	6	2
141	AR	MCF7	1	2
142	AR	MCF7	24	2
143	AR	MCF7	3	2
144	AR	MCF7	6	2
145	AR	MDAMB231	1	2
146	AR	MDAMB231	24	2
147	AR	MDAMB231	3	2
148	AR	MDAMB231	6	2
149	AR	SKBR3	1	2
150	AR	SKBR3	24	2
151	AR	SKBR3	3	2
152	AR	SKBR3	6	2
153	AR-A014418	HEPG2	24	2
154	AR-A014418	HEPG2	6	3
155	AR-A014418	HUH7	24	2
156	AR-A014418	HUH7	6	2
157	AR-A014418	PHH	24	3
158	AR-A014418	PHH	6	2
159	AREG	VCAP	4	2
160	ARP-101	MCF7	24	4
161	ARP-101	MCF7	6	4
162	ARP-101	NKDBA	24	4
163	ARTN	VCAP	4	2
164	AS-601245	BT20	24	4
165	AS-601245	BT20	6	4
166	AS-601245	HS578T	24	4
167	AS-601245	HS578T	6	4
168	AS-601245	MCF10A	24	4
169	AS-601245	MCF10A	6	4
170	AS-601245	MCF7	24	4
171	AS-601245	MCF7	6	4
172	AS-601245	MDAMB231	24	4
173	AS-601245	MDAMB231	6	4
174	AS-601245	SKBR3	24	4
175	AS-601245	SKBR3	6	4
176	AS-605240	BT20	24	4
177	AS-605240	BT20	6	4
178	AS-605240	HS578T	24	4
179	AS-605240	HS578T	6	4
180	AS-605240	MCF10A	24	4
181	AS-605240	MCF10A	6	4
182	AS-605240	MCF7	24	4
183	AS-605240	MCF7	6	4
184	AS-605240	MDAMB231	24	4
185	AS-605240	MDAMB231	6	4
186	AS-605240	SKBR3	24	4
187	AS-605240	SKBR3	6	4
188	ASN-05257430	A375	24	2
189	ASN-05257430	A375	6	2
190	ASN-05257430	A549	24	2
191	ASN-05257430	A549	6	2
192	ASN-05257430	HA1E	24	2
193	ASN-05257430	HA1E	6	2
194	ASN-05257430	HCC515	6	2
195	ASN-05257430	HT29	24	2
196	ASN-05257430	HT29	6	2
197	ASN-05257430	MCF7	24	2
198	ASN-05257430	MCF7	6	2
199	ASN-05257430	PC3	24	2
200	ASN-05257430	PC3	6	2
201	ASN-05257430	VCAP	24	2
202	ASN-05257430	VCAP	6	2
203	AT-7519	BT20	24	4
204	AT-7519	BT20	6	4
205	AT-7519	HS578T	24	4
206	AT-7519	HS578T	6	4
207	AT-7519	MCF10A	24	4
208	AT-7519	MCF10A	6	4
209	AT-7519	MCF7	24	4
210	AT-7519	MCF7	6	4
211	AT-7519	MDAMB231	24	4
212	AT-7519	MDAMB231	6	4
213	AT-7519	SKBR3	24	3
214	AT-7519	SKBR3	6	4
215	AT-9283	A375	24	6
216	AT-9283	A549	24	6
217	AT-9283	HA1E	24	6
218	AT-9283	HCC515	24	6
219	AT-9283	HEPG2	24	6
220	AT-9283	HT29	24	6
221	AT-9283	MCF7	24	6
222	AT-9283	PC3	24	6
223	AT1-SHH-09	A375	24	4
224	AT1-SHH-09	A375	6	4
225	AT1-SHH-09	A549	24	4
226	AT1-SHH-09	A549	6	7
227	AT1-SHH-09	HA1E	24	7
228	AT1-SHH-09	HA1E	6	4
229	AT1-SHH-09	HCC515	24	4
230	AT1-SHH-09	HCC515	6	4
231	AT1-SHH-09	HEPG2	24	4
232	AT1-SHH-09	HEPG2	6	4
233	AT1-SHH-09	HT29	24	8
234	AT1-SHH-09	HT29	6	4
235	AT1-SHH-09	JURKAT	24	11
236	AT1-SHH-09	JURKAT	6	8
237	AT1-SHH-09	MCF7	24	4
238	AT1-SHH-09	MCF7	6	7
239	AT1-SHH-09	PC3	24	8
240	AT1-SHH-09	PC3	6	7
241	AT1-SHH-09	U266	24	4
242	AT1-SHH-09	U266	6	4
243	AT1-SHH-29	A375	24	4
244	AT1-SHH-29	A375	6	4
245	AT1-SHH-29	A549	24	4
246	AT1-SHH-29	A549	6	7
247	AT1-SHH-29	HA1E	24	7
248	AT1-SHH-29	HA1E	6	4
249	AT1-SHH-29	HCC515	24	4
250	AT1-SHH-29	HCC515	6	4
251	AT1-SHH-29	HEPG2	24	4
252	AT1-SHH-29	HEPG2	6	4
253	AT1-SHH-29	HT29	24	8
254	AT1-SHH-29	HT29	6	4
255	AT1-SHH-29	JURKAT	24	11
256	AT1-SHH-29	JURKAT	6	8
257	AT1-SHH-29	MCF7	24	4
258	AT1-SHH-29	MCF7	6	7
259	AT1-SHH-29	PC3	24	8
260	AT1-SHH-29	PC3	6	7
261	AT1-SHH-29	U266	24	4
262	AT1-SHH-29	U266	6	4
263	AT7867	BT20	24	4
264	AT7867	BT20	6	4
265	AT7867	HS578T	24	4
266	AT7867	HS578T	6	4
267	AT7867	MCF10A	24	4
268	AT7867	MCF10A	6	4
269	AT7867	MCF7	24	4
270	AT7867	MCF7	6	4
271	AT7867	MDAMB231	24	4
272	AT7867	MDAMB231	6	4
273	AT7867	SKBR3	24	4
274	AT7867	SKBR3	6	4
275	ATF2	HEK293T	48	2
276	AVA	A375	24	6
277	AVA	A549	24	6
278	AVA	HA1E	24	6
279	AVA	HCC515	24	6
280	AVA	HEPG2	24	6
281	AVA	HT29	24	6
282	AVA	MCF7	24	6
283	AVA	PC3	24	6
284	AVP	VCAP	4	2
285	AZ-628	BT20	24	4
286	AZ-628	BT20	6	4
287	AZ-628	HS578T	24	4
288	AZ-628	HS578T	6	4
289	AZ-628	MCF10A	24	4
290	AZ-628	MCF10A	6	4
291	AZ-628	MCF7	24	4
292	AZ-628	MCF7	6	4
293	AZ-628	MDAMB231	24	4
294	AZ-628	MDAMB231	6	4
295	AZ-628	SKBR3	24	4
296	AZ-628	SKBR3	6	4
297	AZD-1152HQPA	A375	24	7
298	AZD-1152HQPA	A375	6	7
299	AZD-1152HQPA	MCF7	24	7
300	AZD-1152HQPA	MCF7	6	7
301	AZD-1152HQPA	PC3	24	7
302	AZD-1152HQPA	PC3	6	7
303	AZD-1480	BT20	24	4
304	AZD-1480	BT20	6	4
305	AZD-1480	HS578T	24	4
306	AZD-1480	HS578T	6	4
307	AZD-1480	MCF10A	24	4
308	AZD-1480	MCF10A	6	4
309	AZD-1480	MCF7	24	4
310	AZD-1480	MCF7	6	4
311	AZD-1480	MDAMB231	24	4
312	AZD-1480	MDAMB231	6	4
313	AZD-1480	SKBR3	24	4
314	AZD-1480	SKBR3	6	4
315	AZD-5438	BT20	24	4
316	AZD-5438	BT20	6	4
317	AZD-5438	HS578T	24	4
318	AZD-5438	HS578T	6	4
319	AZD-5438	MCF10A	24	4
320	AZD-5438	MCF10A	6	4
321	AZD-5438	MCF7	24	4
322	AZD-5438	MCF7	6	4
323	AZD-5438	MDAMB231	24	4
324	AZD-5438	MDAMB231	6	4
325	AZD-5438	SKBR3	24	4
326	AZD-5438	SKBR3	6	4
327	AZD-6482	BT20	24	4
328	AZD-6482	BT20	6	4
329	AZD-6482	HS578T	24	4
330	AZD-6482	HS578T	6	4
331	AZD-6482	MCF10A	24	4
332	AZD-6482	MCF10A	6	4
333	AZD-6482	MCF7	24	4
334	AZD-6482	MCF7	6	4
335	AZD-6482	MDAMB231	24	4
336	AZD-6482	MDAMB231	6	4
337	AZD-6482	SKBR3	24	4
338	AZD-6482	SKBR3	6	4
339	AZD-7762	BT20	24	4
340	AZD-7762	BT20	6	4
341	AZD-7762	HS578T	24	3
342	AZD-7762	HS578T	6	4
343	AZD-7762	MCF10A	24	4
344	AZD-7762	MCF10A	6	4
345	AZD-7762	MCF7	24	4
346	AZD-7762	MCF7	6	4
347	AZD-7762	MDAMB231	24	4
348	AZD-7762	MDAMB231	6	4
349	AZD-7762	SKBR3	24	4
350	AZD-7762	SKBR3	6	4
351	AZD-8055	BT20	24	4
352	AZD-8055	BT20	6	4
353	AZD-8055	HS578T	24	4
354	AZD-8055	HS578T	6	4
355	AZD-8055	MCF10A	24	4
356	AZD-8055	MCF10A	6	4
357	AZD-8055	MCF7	24	4
358	AZD-8055	MCF7	6	4
359	AZD-8055	MDAMB231	24	4
360	AZD-8055	MDAMB231	6	4
361	AZD-8055	SKBR3	24	4
362	AZD-8055	SKBR3	6	4
363	AZD-8330	BT20	24	4
364	AZD-8330	BT20	6	4
365	AZD-8330	HS578T	24	4
366	AZD-8330	HS578T	6	4
367	AZD-8330	MCF10A	24	4
368	AZD-8330	MCF10A	6	4
369	AZD-8330	MCF7	24	4
370	AZD-8330	MCF7	6	4
371	AZD-8330	MDAMB231	24	4
372	AZD-8330	MDAMB231	6	4
373	AZD-8330	SKBR3	24	4
374	AZD-8330	SKBR3	6	4
375	B2M	VCAP	4	2
376	BACH1	HEK293T	48	2
377	BAX-channel-blocker	A549	24	9
378	BAX-channel-blocker	A549	6	9
379	BAX-channel-blocker	MCF7	24	9
380	BAX-channel-blocker	MCF7	6	9
381	BCI-hydrochloride	MCF7	24	4
382	BCI-hydrochloride	MCF7	6	4
383	BCL2-inhibitor	MCF7	24	4
384	BCL2-inhibitor	MCF7	6	4
385	BCR-ABL	HEK293T	48	2
386	BDNF	VCAP	4	2
387	BFGF	BT20	1	2
388	BFGF	BT20	24	2
389	BFGF	BT20	3	2
390	BFGF	BT20	6	2
391	BFGF	HS578T	1	2
392	BFGF	HS578T	24	2
393	BFGF	HS578T	3	2
394	BFGF	HS578T	6	2
395	BFGF	MCF10A	1	2
396	BFGF	MCF10A	24	2
397	BFGF	MCF10A	3	2
398	BFGF	MCF10A	6	2
399	BFGF	MCF7	1	2
400	BFGF	MCF7	24	2
401	BFGF	MCF7	3	2
402	BFGF	MCF7	6	2
403	BFGF	MDAMB231	1	2
404	BFGF	MDAMB231	24	2
405	BFGF	MDAMB231	3	2
406	BFGF	MDAMB231	6	2
407	BFGF	SKBR3	1	2
408	BFGF	SKBR3	24	2
409	BFGF	SKBR3	3	2
410	BFGF	SKBR3	6	2
411	BG-STK33-03	NOMO1	24	8
412	BG-STK33-03	NOMO1	6	8
413	BG-STK33-03	THP1	24	8
414	BG-STK33-03	THP1	6	8
415	BG-STK33-55	NOMO1	24	8
416	BG-STK33-55	NOMO1	6	8
417	BG-STK33-55	THP1	24	8
418	BG-STK33-55	THP1	6	8
419	BG-STK33-59	NOMO1	24	8
420	BG-STK33-59	NOMO1	6	8
421	BG-STK33-59	THP1	24	8
422	BG-STK33-59	THP1	6	8
423	BGLAP	VCAP	4	2
424	BI-2536	BT20	24	4
425	BI-2536	BT20	6	4
426	BI-2536	HS578T	24	4
427	BI-2536	HS578T	6	4
428	BI-2536	MCF10A	24	4
429	BI-2536	MCF10A	6	4
430	BI-2536	MCF7	24	7
431	BI-2536	MCF7	6	7
432	BI-2536	MDAMB231	24	4
433	BI-2536	MDAMB231	6	4
434	BI-2536	SKBR3	24	4
435	BI-2536	SKBR3	6	4
436	BIX-02189	BT20	24	4
437	BIX-02189	BT20	6	4
438	BIX-02189	HS578T	24	4
439	BIX-02189	HS578T	6	4
440	BIX-02189	MCF10A	24	4
441	BIX-02189	MCF10A	6	4
442	BIX-02189	MCF7	24	4
443	BIX-02189	MCF7	6	4
444	BIX-02189	MDAMB231	24	4
445	BIX-02189	MDAMB231	6	4
446	BIX-02189	SKBR3	24	4
447	BIX-02189	SKBR3	6	4
448	BIX-02189	VCAP	24	3
449	BIX-02189	VCAP	6	3
450	BL003-049-HDAC3	A375	24	6
451	BL003-049-HDAC3	A549	24	6
452	BL003-049-HDAC3	HA1E	24	6
453	BL003-049-HDAC3	HCC515	24	6
454	BL003-049-HDAC3	HEPG2	24	6
455	BL003-049-HDAC3	HT29	24	6
456	BL003-049-HDAC3	MCF7	24	9
457	BL003-049-HDAC3	MCF7	6	4
458	BL003-049-HDAC3	PC3	24	9
459	BL003-049-HDAC3	PC3	6	4
460	BMP10	VCAP	4	2
461	BMP11	VCAP	4	2
462	BMP13	VCAP	4	2
463	BMP2	VCAP	4	2
464	BMP4	VCAP	4	2
465	BMP6	VCAP	4	2
466	BMP7	VCAP	4	2
467	BMPR2	HEK293T	48	2
468	BMS-345541	BT20	24	4
469	BMS-345541	BT20	6	4
470	BMS-345541	HS578T	24	4
471	BMS-345541	HS578T	6	4
472	BMS-345541	MCF10A	24	4
473	BMS-345541	MCF10A	6	4
474	BMS-345541	MCF7	24	4
475	BMS-345541	MCF7	6	4
476	BMS-345541	MDAMB231	24	4
477	BMS-345541	MDAMB231	6	4
478	BMS-345541	SKBR3	24	4
479	BMS-345541	SKBR3	6	4
480	BMS-387032	BT20	24	4
481	BMS-387032	BT20	6	4
482	BMS-387032	HS578T	24	3
483	BMS-387032	HS578T	6	4
484	BMS-387032	MCF10A	24	4
485	BMS-387032	MCF10A	6	4
486	BMS-387032	MCF7	24	3
487	BMS-387032	MCF7	6	4
488	BMS-387032	MDAMB231	24	4
489	BMS-387032	MDAMB231	6	4
490	BMS-387032	SKBR3	6	4
491	BMS-509744	BT20	24	4
492	BMS-509744	BT20	6	4
493	BMS-509744	HS578T	24	4
494	BMS-509744	HS578T	6	4
495	BMS-509744	MCF10A	24	4
496	BMS-509744	MCF10A	6	4
497	BMS-509744	MCF7	24	4
498	BMS-509744	MCF7	6	4
499	BMS-509744	MDAMB231	24	4
500	BMS-509744	MDAMB231	6	4
501	BMS-509744	SKBR3	24	4
502	BMS-509744	SKBR3	6	4
503	BMS-536924	A549	24	10
504	BMS-536924	A549	6	10
505	BMS-536924	MCF7	24	10
506	BMS-536924	MCF7	6	10
507	BMS-777607	BT20	24	4
508	BMS-777607	BT20	6	4
509	BMS-777607	HS578T	24	4
510	BMS-777607	HS578T	6	4
511	BMS-777607	MCF10A	24	4
512	BMS-777607	MCF10A	6	4
513	BMS-777607	MCF7	24	4
514	BMS-777607	MCF7	6	4
515	BMS-777607	MDAMB231	24	4
516	BMS-777607	MDAMB231	6	4
517	BMS-777607	SKBR3	24	4
518	BMS-777607	SKBR3	6	4
519	BNGF	BT20	1	2
520	BNGF	BT20	24	2
521	BNGF	BT20	3	2
522	BNGF	BT20	6	2
523	BNGF	HS578T	1	2
524	BNGF	HS578T	24	2
525	BNGF	HS578T	3	2
526	BNGF	HS578T	6	2
527	BNGF	MCF10A	1	2
528	BNGF	MCF10A	24	2
529	BNGF	MCF10A	3	2
530	BNGF	MCF10A	6	2
531	BNGF	MCF7	1	2
532	BNGF	MCF7	24	2
533	BNGF	MCF7	3	2
534	BNGF	MCF7	6	2
535	BNGF	MDAMB231	1	2
536	BNGF	MDAMB231	24	2
537	BNGF	MDAMB231	3	2
538	BNGF	MDAMB231	6	2
539	BNGF	SKBR3	1	2
540	BNGF	SKBR3	24	2
541	BNGF	SKBR3	3	2
542	BNGF	SKBR3	6	2
543	BRAF	HEK293T	48	2
544	BRD-A02836799	VCAP	24	5
545	BRD-A03772856	CD34	24	4
546	BRD-A03772856	CD34	6	4
547	BRD-A03772856	HL60	24	4
548	BRD-A03772856	HL60	6	4
549	BRD-A03772856	PC3	6	4
550	BRD-A03772856	U937	24	4
551	BRD-A03772856	U937	6	4
552	BRD-A08658758	A375	24	6
553	BRD-A08658758	A549	24	6
554	BRD-A08658758	HA1E	24	6
555	BRD-A08658758	HCC515	24	6
556	BRD-A08658758	HEPG2	24	6
557	BRD-A08658758	HT29	24	6
558	BRD-A08658758	MCF7	24	6
559	BRD-A08658758	PC3	24	6
560	BRD-A11731846	HEPG2	24	2
561	BRD-A11731846	HEPG2	6	2
562	BRD-A11731846	HUH7	24	2
563	BRD-A11731846	HUH7	6	2
564	BRD-A11731846	PHH	24	2
565	BRD-A11731846	PHH	6	2
566	BRD-A13020530	HEPG2	24	2
567	BRD-A13020530	HEPG2	6	2
568	BRD-A13020530	HUH7	24	2
569	BRD-A13020530	HUH7	6	2
570	BRD-A13020530	PHH	24	2
571	BRD-A13020530	PHH	6	2
572	BRD-A14014306	HEPG2	24	2
573	BRD-A14014306	HEPG2	6	2
574	BRD-A14014306	HUH7	24	2
575	BRD-A14014306	HUH7	6	2
576	BRD-A14014306	PHH	24	2
577	BRD-A14014306	PHH	6	2
578	BRD-A15113563	HEPG2	24	2
579	BRD-A15113563	HEPG2	6	2
580	BRD-A15113563	HUH7	24	2
581	BRD-A15113563	HUH7	6	2
582	BRD-A15113563	PHH	24	2
583	BRD-A15113563	PHH	6	2
584	BRD-A15501135	VCAP	24	2
585	BRD-A15501135	VCAP	6	2
586	BRD-A32065788	VCAP	24	3
587	BRD-A32065788	VCAP	6	3
588	BRD-A35207501	CD34	24	4
589	BRD-A35207501	CD34	6	4
590	BRD-A35207501	HL60	24	4
591	BRD-A35207501	HL60	6	4
592	BRD-A35207501	PC3	6	4
593	BRD-A35207501	U937	24	4
594	BRD-A35207501	U937	6	4
595	BRD-A35769934	VCAP	24	2
596	BRD-A35769934	VCAP	6	2
597	BRD-A36275421	A375	24	5
598	BRD-A36275421	A549	24	6
599	BRD-A36275421	HCC515	24	6
600	BRD-A36275421	HEPG2	24	6
601	BRD-A36275421	HT29	24	6
602	BRD-A36275421	MCF7	24	9
603	BRD-A36275421	MCF7	6	4
604	BRD-A36275421	PC3	24	6
605	BRD-A36411721	HEPG2	24	2
606	BRD-A36411721	HEPG2	6	2
607	BRD-A36411721	HUH7	24	2
608	BRD-A36411721	HUH7	6	2
609	BRD-A36411721	PHH	24	2
610	BRD-A36411721	PHH	6	2
611	BRD-A37501891	VCAP	24	2
612	BRD-A37501891	VCAP	6	2
613	BRD-A41649729	HEPG2	24	2
614	BRD-A41649729	HEPG2	6	2
615	BRD-A41649729	HUH7	24	2
616	BRD-A41649729	HUH7	6	2
617	BRD-A41649729	PHH	24	2
618	BRD-A41649729	PHH	6	2
619	BRD-A44244100	HEPG2	24	2
620	BRD-A44244100	HEPG2	6	2
621	BRD-A44244100	HUH7	24	2
622	BRD-A44244100	HUH7	6	2
623	BRD-A44244100	PHH	24	2
624	BRD-A44244100	PHH	6	2
625	BRD-A46802340	HEPG2	24	2
626	BRD-A46802340	HEPG2	6	2
627	BRD-A46802340	HUH7	24	2
628	BRD-A46802340	HUH7	6	2
629	BRD-A46802340	PHH	24	2
630	BRD-A46802340	PHH	6	2
631	BRD-A47832959	MCF7	24	4
632	BRD-A47832959	MCF7	6	4
633	BRD-A47832959	NKDBA	24	4
634	BRD-A59728941	HEPG2	24	2
635	BRD-A59728941	HEPG2	6	2
636	BRD-A59728941	HUH7	24	2
637	BRD-A59728941	HUH7	6	2
638	BRD-A59728941	PHH	24	2
639	BRD-A59728941	PHH	6	2
640	BRD-A65142661	HEPG2	24	2
641	BRD-A65142661	HEPG2	6	2
642	BRD-A65142661	HUH7	24	2
643	BRD-A65142661	HUH7	6	2
644	BRD-A65142661	PHH	24	2
645	BRD-A65142661	PHH	6	2
646	BRD-A68202111	VCAP	24	3
647	BRD-A68202111	VCAP	6	3
648	BRD-A70633932	VCAP	24	2
649	BRD-A70633932	VCAP	6	2
650	BRD-A72498772	CD34	24	3
651	BRD-A72498772	CD34	6	3
652	BRD-A72498772	HL60	24	3
653	BRD-A72498772	HL60	6	4
654	BRD-A72498772	PC3	6	3
655	BRD-A72498772	U937	24	2
656	BRD-A72498772	U937	6	3
657	BRD-A72796238	CD34	24	4
658	BRD-A72796238	CD34	6	4
659	BRD-A72796238	HL60	24	4
660	BRD-A72796238	HL60	6	4
661	BRD-A72796238	PC3	6	4
662	BRD-A72796238	U937	24	4
663	BRD-A72796238	U937	6	4
664	BRD-A73513677	CD34	24	4
665	BRD-A73513677	CD34	6	4
666	BRD-A73513677	HL60	24	4
667	BRD-A73513677	HL60	6	4
668	BRD-A73513677	PC3	6	4
669	BRD-A73513677	U937	24	4
670	BRD-A73513677	U937	6	4
671	BRD-A73558769	CD34	24	4
672	BRD-A73558769	CD34	6	4
673	BRD-A73558769	HL60	24	4
674	BRD-A73558769	HL60	6	4
675	BRD-A73558769	PC3	6	4
676	BRD-A73558769	U937	24	4
677	BRD-A73558769	U937	6	4
678	BRD-A73594579	HEPG2	24	2
679	BRD-A73594579	HEPG2	6	2
680	BRD-A73594579	HUH7	24	2
681	BRD-A73594579	HUH7	6	2
682	BRD-A73594579	PHH	24	2
683	BRD-A73594579	PHH	6	2
684	BRD-A74382794	CD34	24	4
685	BRD-A74382794	CD34	6	4
686	BRD-A74382794	HL60	24	4
687	BRD-A74382794	HL60	6	4
688	BRD-A74382794	PC3	6	4
689	BRD-A74382794	U937	24	4
690	BRD-A74382794	U937	6	4
691	BRD-A83255679	A375	24	2
692	BRD-A83255679	A375	6	2
693	BRD-A83255679	A549	6	2
694	BRD-A83255679	HCC515	6	2
695	BRD-A83255679	HEPG2	6	2
696	BRD-A83255679	HT29	6	2
697	BRD-A83255679	MCF7	24	2
698	BRD-A83255679	MCF7	6	2
699	BRD-A83255679	PC3	24	2
700	BRD-A83255679	PC3	6	2
701	BRD-A83255679	VCAP	24	2
702	BRD-A83255679	VCAP	6	2
703	BRD-A84066268	VCAP	24	3
704	BRD-A84066268	VCAP	6	3
705	BRD-A84238007	HEPG2	24	2
706	BRD-A84238007	HEPG2	6	2
707	BRD-A84238007	HUH7	24	2
708	BRD-A84238007	HUH7	6	2
709	BRD-A84238007	PHH	24	2
710	BRD-A84238007	PHH	6	2
711	BRD-A88765664	VCAP	24	3
712	BRD-A88765664	VCAP	6	3
713	BRD-A94546435	HEPG2	24	2
714	BRD-A94546435	HEPG2	6	2
715	BRD-A94546435	HUH7	24	2
716	BRD-A94546435	HUH7	6	2
717	BRD-A94546435	PHH	24	2
718	BRD-A94546435	PHH	6	2
719	BRD-A95504714	CD34	24	4
720	BRD-A95504714	CD34	6	4
721	BRD-A95504714	HL60	24	4
722	BRD-A95504714	HL60	6	4
723	BRD-A95504714	PC3	6	4
724	BRD-A95504714	U937	24	4
725	BRD-A95504714	U937	6	4
726	BRD-K00007652	MCF7	24	5
727	BRD-K00007652	MCF7	6	5
728	BRD-K00069117	HEPG2	24	2
729	BRD-K00069117	HEPG2	6	2
730	BRD-K00069117	HUH7	24	2
731	BRD-K00069117	HUH7	6	2
732	BRD-K00069117	PHH	24	2
733	BRD-K00069117	PHH	6	2
734	BRD-K00141503	A375	24	2
735	BRD-K00141503	A549	24	2
736	BRD-K00141503	HT29	24	2
737	BRD-K00141503	MCF7	24	2
738	BRD-K00141503	PC3	24	2
739	BRD-K00409771	A375	24	2
740	BRD-K00409771	A549	24	2
741	BRD-K00409771	HT29	24	2
742	BRD-K00409771	MCF7	24	2
743	BRD-K00409771	PC3	24	2
744	BRD-K00518397	PC3	24	2
745	BRD-K00540336	A375	24	2
746	BRD-K00540336	A549	24	2
747	BRD-K00540336	HT29	24	2
748	BRD-K00540336	MCF7	24	2
749	BRD-K00540336	PC3	24	2
750	BRD-K00640357	A375	24	6
