	drug	cell line	time point	drug dose	count
88	A-23187	HUH7	6	2.5	3
89	A-23187	PHH	24	10.0	1
90	A-23187	PHH	24	2.5	1
91	A-23187	VCAP	24	0.4	3
92	A-23187	VCAP	24	10.0	3
93	A-23187	VCAP	24	2.0	3
94	A-23187	VCAP	6	0.4	2
95	A-23187	VCAP	6	10.0	2
96	A-23187	VCAP	6	2.0	2
97	A-443644	BT20	24	0.08	4
98	A-443644	BT20	24	0.4	4
99	A-443644	BT20	24	2.0	4
100	A-443644	BT20	6	0.08	4
101	A-443644	BT20	6	0.4	4
102	A-443644	BT20	6	10.0	4
103	A-443644	BT20	6	2.0	4
104	A-443644	HS578T	24	0.08	3
105	A-443644	HS578T	24	0.4	3
106	A-443644	HS578T	24	2.0	1
107	A-443644	HS578T	6	0.08	3
108	A-443644	HS578T	6	0.4	3
109	A-443644	HS578T	6	2.0	3
110	A-443644	MCF10A	24	0.08	4
111	A-443644	MCF10A	24	0.4	4
112	A-443644	MCF10A	24	2.0	4
113	A-443644	MCF10A	6	0.08	4
114	A-443644	MCF10A	6	0.4	4
115	A-443644	MCF10A	6	10.0	4
116	A-443644	MCF10A	6	2.0	4
117	A-443644	MCF7	24	0.08	2
118	A-443644	MCF7	24	0.4	2
119	A-443644	MCF7	24	10.0	3
120	A-443644	MCF7	24	2.0	2
121	A-443644	MCF7	6	0.08	4
122	A-443644	MCF7	6	0.4	4
123	A-443644	MCF7	6	10.0	9
124	A-443644	MCF7	6	2.0	4
125	A-443644	MDAMB231	24	0.08	4
126	A-443644	MDAMB231	24	0.4	4
127	A-443644	MDAMB231	24	2.0	3
128	A-443644	MDAMB231	6	0.08	2
129	A-443644	MDAMB231	6	0.4	4
130	A-443644	MDAMB231	6	10.0	4
131	A-443644	MDAMB231	6	2.0	4
132	A-443644	SKBR3	24	0.08	5
133	A-443644	SKBR3	24	0.4	5
134	A-443644	SKBR3	24	2.0	5
135	A-443644	SKBR3	6	0.08	4
136	A-443644	SKBR3	6	0.4	4
137	A-443644	SKBR3	6	10.0	2
138	A-443644	SKBR3	6	2.0	4
139	ABL1	HEK293T	48	150.0	80
140	ABL1	HEK293T	48	150.000000	1
141	ABL1	HEK293T	48	200.0	8
142	ABT-737	BT20	24	0.08	3
143	ABT-737	BT20	24	0.4	3
144	ABT-737	BT20	24	10.0	3
145	ABT-737	BT20	24	2.0	3
146	ABT-737	BT20	6	0.08	3
147	ABT-737	BT20	6	0.4	3
148	ABT-737	BT20	6	10.0	3
149	ABT-737	BT20	6	2.0	2
150	ABT-737	HS578T	24	0.08	3
151	ABT-737	HS578T	24	0.4	3
152	ABT-737	HS578T	24	10.0	3
153	ABT-737	HS578T	24	2.0	3
154	ABT-737	HS578T	6	0.08	3
155	ABT-737	HS578T	6	0.4	3
156	ABT-737	HS578T	6	10.0	3
157	ABT-737	HS578T	6	2.0	3
158	ABT-737	MCF10A	24	0.08	2
159	ABT-737	MCF10A	24	0.4	2
160	ABT-737	MCF10A	24	10.0	2
161	ABT-737	MCF10A	24	2.0	2
162	ABT-737	MCF10A	6	0.08	3
163	ABT-737	MCF10A	6	0.4	3
164	ABT-737	MCF10A	6	10.0	3
165	ABT-737	MCF10A	6	2.0	3
166	ABT-737	MCF7	24	0.08	2
167	ABT-737	MCF7	24	0.4	2
168	ABT-737	MCF7	24	10.0	2
169	ABT-737	MCF7	24	11.1	6
170	ABT-737	MCF7	24	2.0	2
171	ABT-737	MCF7	6	0.08	3
172	ABT-737	MCF7	6	0.4	3
173	ABT-737	MCF7	6	10.0	3
174	ABT-737	MCF7	6	11.1	5
175	ABT-737	MCF7	6	2.0	3
176	ABT-737	MDAMB231	24	0.08	3
177	ABT-737	MDAMB231	24	0.4	3
178	ABT-737	MDAMB231	24	10.0	3
179	ABT-737	MDAMB231	24	2.0	3
180	ABT-737	MDAMB231	6	0.08	3
181	ABT-737	MDAMB231	6	0.4	3
182	ABT-737	MDAMB231	6	10.0	3
183	ABT-737	MDAMB231	6	2.0	3
184	ABT-737	SKBR3	24	0.08	3
185	ABT-737	SKBR3	24	0.4	3
186	ABT-737	SKBR3	24	10.0	3
187	ABT-737	SKBR3	24	2.0	3
188	ABT-737	SKBR3	6	0.08	3
189	ABT-737	SKBR3	6	0.4	3
190	ABT-737	SKBR3	6	10.0	3
191	ABT-737	SKBR3	6	2.0	3
192	ACDPP	VCAP	24	10.0	6
193	ACDPP	VCAP	24	30.0	6
194	ACDPP	VCAP	6	10.0	6
195	ACDPP	VCAP	6	30.0	6
196	ACHE	VCAP	4	0.029999999329400003	1
197	ACHE	VCAP	4	0.030000	2
198	ACVR1	HEK293T	48	150.0	95
199	ACVR1	HEK293T	48	200.0	4
200	ADM	VCAP	4	20.0	1
201	ADM	VCAP	4	20.000000	2
202	AG-14361	A375	24	10.0	3
203	AG-14361	A375	24	25.0	5
204	AG-14361	A375	6	10.0	3
205	AG-14361	A375	6	25.0	7
206	AG-14361	A549	24	0.00150000001304	3
207	AG-14361	A549	24	0.00449999980628	3
208	AG-14361	A549	24	0.0130000002682	3
209	AG-14361	A549	24	0.0412000007927	3
210	AG-14361	A549	24	0.123400002718	3
211	AG-14361	A549	24	0.370400011539	3
212	AG-14361	A549	24	1.1100000143100002	3
213	AG-14361	A549	24	10.0	6
214	AG-14361	A549	24	25.0	3
215	AG-14361	A549	24	3.32999992371	3
216	AG-14361	A549	6	0.00150000001304	3
217	AG-14361	A549	6	0.00449999980628	3
218	AG-14361	A549	6	0.0130000002682	3
219	AG-14361	A549	6	0.0412000007927	3
220	AG-14361	A549	6	0.123400002718	3
221	AG-14361	A549	6	0.370400011539	3
222	AG-14361	A549	6	1.1100000143100002	3
223	AG-14361	A549	6	10.0	6
224	AG-14361	A549	6	25.0	4
225	AG-14361	A549	6	3.32999992371	3
226	AG-14361	HA1E	24	10.0	3
227	AG-14361	HA1E	24	25.0	5
228	AG-14361	HA1E	6	10.0	3
229	AG-14361	HA1E	6	25.0	5
230	AG-14361	HCC515	6	10.0	2
231	AG-14361	HCC515	6	25.0	4
232	AG-14361	HT29	24	10.0	3
233	AG-14361	HT29	24	25.0	4
234	AG-14361	HT29	6	10.0	4
235	AG-14361	HT29	6	25.0	6
236	AG-14361	MCF7	24	0.00150000001304	3
237	AG-14361	MCF7	24	0.00449999980628	3
238	AG-14361	MCF7	24	0.0130000002682	3
239	AG-14361	MCF7	24	0.0412000007927	3
240	AG-14361	MCF7	24	0.123400002718	3
241	AG-14361	MCF7	24	0.370400011539	3
242	AG-14361	MCF7	24	1.1100000143100002	3
243	AG-14361	MCF7	24	10.0	8
244	AG-14361	MCF7	24	25.0	6
245	AG-14361	MCF7	24	3.32999992371	3
246	AG-14361	MCF7	6	0.00150000001304	3
247	AG-14361	MCF7	6	0.00449999980628	3
248	AG-14361	MCF7	6	0.0130000002682	3
249	AG-14361	MCF7	6	0.0412000007927	3
250	AG-14361	MCF7	6	0.123400002718	3
251	AG-14361	MCF7	6	0.370400011539	3
252	AG-14361	MCF7	6	1.1100000143100002	3
253	AG-14361	MCF7	6	10.0	7
254	AG-14361	MCF7	6	25.0	5
255	AG-14361	MCF7	6	3.32999992371	3
256	AG-14361	PC3	24	10.0	4
257	AG-14361	PC3	24	25.0	6
258	AG-14361	PC3	6	10.0	5
259	AG-14361	PC3	6	25.0	4
260	AG-14361	VCAP	24	10.0	6
261	AG-14361	VCAP	24	25.0	5
262	AG-14361	VCAP	6	10.0	6
263	AG-14361	VCAP	6	25.0	3
264	AG-490	MCF7	24	0.3704	3
265	AG-490	MCF7	24	1.1111	3
266	AG-490	MCF7	24	10.0	11
267	AG-490	MCF7	24	3.3333	3
268	AG-490	MCF7	6	0.3704	3
269	AG-490	MCF7	6	1.1111	3
270	AG-490	MCF7	6	10.0	9
271	AG-490	MCF7	6	3.3333	3
272	AGT	VCAP	4	500.0	1
273	AGT	VCAP	4	500.000000	2
274	AHSG	VCAP	4	10000.0	1
275	AHSG	VCAP	4	10000.000000	2
276	AIMP1	VCAP	4	50.0	1
277	AIMP1	VCAP	4	50.000000	2
278	AKT-inhibitor-1-2	BT20	24	0.08	4
279	AKT-inhibitor-1-2	BT20	24	0.4	4
280	AKT-inhibitor-1-2	BT20	24	10.0	4
281	AKT-inhibitor-1-2	BT20	24	2.0	4
282	AKT-inhibitor-1-2	BT20	6	0.08	4
283	AKT-inhibitor-1-2	BT20	6	0.4	4
284	AKT-inhibitor-1-2	BT20	6	10.0	4
285	AKT-inhibitor-1-2	BT20	6	2.0	4
286	AKT-inhibitor-1-2	HS578T	24	0.08	3
287	AKT-inhibitor-1-2	HS578T	24	0.4	3
288	AKT-inhibitor-1-2	HS578T	24	10.0	3
289	AKT-inhibitor-1-2	HS578T	24	2.0	3
290	AKT-inhibitor-1-2	HS578T	6	0.08	3
291	AKT-inhibitor-1-2	HS578T	6	0.4	3
292	AKT-inhibitor-1-2	HS578T	6	10.0	3
293	AKT-inhibitor-1-2	HS578T	6	2.0	3
294	AKT-inhibitor-1-2	MCF10A	24	0.08	4
295	AKT-inhibitor-1-2	MCF10A	24	0.4	4
296	AKT-inhibitor-1-2	MCF10A	24	10.0	4
297	AKT-inhibitor-1-2	MCF10A	24	2.0	4
298	AKT-inhibitor-1-2	MCF10A	6	0.08	4
299	AKT-inhibitor-1-2	MCF10A	6	0.4	4
300	AKT-inhibitor-1-2	MCF10A	6	10.0	4
301	AKT-inhibitor-1-2	MCF10A	6	2.0	4
302	AKT-inhibitor-1-2	MCF7	24	0.08	2
303	AKT-inhibitor-1-2	MCF7	24	0.4	2
304	AKT-inhibitor-1-2	MCF7	24	10.0	2
305	AKT-inhibitor-1-2	MCF7	24	2.0	2
306	AKT-inhibitor-1-2	MCF7	24	9.1	4
307	AKT-inhibitor-1-2	MCF7	6	0.08	4
308	AKT-inhibitor-1-2	MCF7	6	0.4	4
309	AKT-inhibitor-1-2	MCF7	6	10.0	4
310	AKT-inhibitor-1-2	MCF7	6	2.0	4
311	AKT-inhibitor-1-2	MCF7	6	9.1	3
312	AKT-inhibitor-1-2	MDAMB231	24	0.08	4
313	AKT-inhibitor-1-2	MDAMB231	24	0.4	4
314	AKT-inhibitor-1-2	MDAMB231	24	10.0	4
315	AKT-inhibitor-1-2	MDAMB231	24	2.0	4
316	AKT-inhibitor-1-2	MDAMB231	6	0.08	4
317	AKT-inhibitor-1-2	MDAMB231	6	0.4	4
318	AKT-inhibitor-1-2	MDAMB231	6	10.0	4
319	AKT-inhibitor-1-2	MDAMB231	6	2.0	4
320	AKT-inhibitor-1-2	SKBR3	24	0.08	5
321	AKT-inhibitor-1-2	SKBR3	24	0.4	5
322	AKT-inhibitor-1-2	SKBR3	24	10.0	5
323	AKT-inhibitor-1-2	SKBR3	24	2.0	5
324	AKT-inhibitor-1-2	SKBR3	6	0.08	4
325	AKT-inhibitor-1-2	SKBR3	6	0.4	4
326	AKT-inhibitor-1-2	SKBR3	6	10.0	4
327	AKT-inhibitor-1-2	SKBR3	6	2.0	4
328	AKT-inhibitor-IV	A549	24	0.00150000001304	3
329	AKT-inhibitor-IV	A549	24	0.00449999980628	3
330	AKT-inhibitor-IV	A549	24	0.0130000002682	3
331	AKT-inhibitor-IV	A549	24	0.0412000007927	3
332	AKT-inhibitor-IV	A549	24	0.123400002718	3
333	AKT-inhibitor-IV	A549	24	0.370400011539	3
334	AKT-inhibitor-IV	A549	24	1.1100000143100002	3
335	AKT-inhibitor-IV	A549	24	10.0	5
336	AKT-inhibitor-IV	A549	24	3.32999992371	3
337	AKT-inhibitor-IV	A549	6	0.00150000001304	3
338	AKT-inhibitor-IV	A549	6	0.00449999980628	3
339	AKT-inhibitor-IV	A549	6	0.0130000002682	3
340	AKT-inhibitor-IV	A549	6	0.0412000007927	3
341	AKT-inhibitor-IV	A549	6	0.123400002718	3
342	AKT-inhibitor-IV	A549	6	0.370400011539	3
343	AKT-inhibitor-IV	A549	6	1.1100000143100002	3
344	AKT-inhibitor-IV	A549	6	10.0	6
345	AKT-inhibitor-IV	A549	6	3.32999992371	3
346	AKT-inhibitor-IV	MCF7	24	0.00150000001304	3
347	AKT-inhibitor-IV	MCF7	24	0.00449999980628	3
348	AKT-inhibitor-IV	MCF7	24	0.0130000002682	3
349	AKT-inhibitor-IV	MCF7	24	0.0412000007927	3
350	AKT-inhibitor-IV	MCF7	24	0.123400002718	3
351	AKT-inhibitor-IV	MCF7	24	0.370400011539	3
352	AKT-inhibitor-IV	MCF7	24	1.1100000143100002	3
353	AKT-inhibitor-IV	MCF7	24	10.0	9
354	AKT-inhibitor-IV	MCF7	24	3.32999992371	3
355	AKT-inhibitor-IV	MCF7	6	0.00150000001304	3
356	AKT-inhibitor-IV	MCF7	6	0.00449999980628	3
357	AKT-inhibitor-IV	MCF7	6	0.0130000002682	3
358	AKT-inhibitor-IV	MCF7	6	0.0412000007927	3
359	AKT-inhibitor-IV	MCF7	6	0.123400002718	3
360	AKT-inhibitor-IV	MCF7	6	0.370400011539	3
361	AKT-inhibitor-IV	MCF7	6	1.1100000143100002	3
362	AKT-inhibitor-IV	MCF7	6	10.0	8
363	AKT-inhibitor-IV	MCF7	6	3.32999992371	3
364	ALK	HEK293T	48	150.0	126
365	ALK	HEK293T	48	200.0	8
366	ALW-II-38-3	BT20	24	0.08	4
367	ALW-II-38-3	BT20	24	0.4	4
368	ALW-II-38-3	BT20	24	10.0	4
369	ALW-II-38-3	BT20	24	2.0	4
370	ALW-II-38-3	BT20	6	0.08	4
371	ALW-II-38-3	BT20	6	0.4	4
372	ALW-II-38-3	BT20	6	10.0	4
373	ALW-II-38-3	BT20	6	2.0	4
374	ALW-II-38-3	HS578T	24	0.08	3
375	ALW-II-38-3	HS578T	24	0.4	3
376	ALW-II-38-3	HS578T	24	10.0	3
377	ALW-II-38-3	HS578T	24	2.0	3
378	ALW-II-38-3	HS578T	6	0.08	3
379	ALW-II-38-3	HS578T	6	0.4	3
380	ALW-II-38-3	HS578T	6	10.0	3
381	ALW-II-38-3	HS578T	6	2.0	3
382	ALW-II-38-3	MCF10A	24	0.08	4
383	ALW-II-38-3	MCF10A	24	0.4	4
384	ALW-II-38-3	MCF10A	24	10.0	4
385	ALW-II-38-3	MCF10A	24	2.0	4
386	ALW-II-38-3	MCF10A	6	0.08	4
387	ALW-II-38-3	MCF10A	6	0.4	4
388	ALW-II-38-3	MCF10A	6	10.0	3
389	ALW-II-38-3	MCF10A	6	2.0	4
390	ALW-II-38-3	MCF7	24	0.08	2
391	ALW-II-38-3	MCF7	24	0.4	2
392	ALW-II-38-3	MCF7	24	10.0	7
393	ALW-II-38-3	MCF7	24	2.0	2
394	ALW-II-38-3	MCF7	6	0.08	4
395	ALW-II-38-3	MCF7	6	0.4	4
396	ALW-II-38-3	MCF7	6	10.0	8
397	ALW-II-38-3	MCF7	6	2.0	3
398	ALW-II-38-3	MDAMB231	24	0.08	4
399	ALW-II-38-3	MDAMB231	24	0.4	4
400	ALW-II-38-3	MDAMB231	24	10.0	4
401	ALW-II-38-3	MDAMB231	24	2.0	4
402	ALW-II-38-3	MDAMB231	6	0.08	4
403	ALW-II-38-3	MDAMB231	6	0.4	4
404	ALW-II-38-3	MDAMB231	6	10.0	4
405	ALW-II-38-3	MDAMB231	6	2.0	4
406	ALW-II-38-3	SKBR3	24	0.08	5
407	ALW-II-38-3	SKBR3	24	0.4	5
408	ALW-II-38-3	SKBR3	24	10.0	5
409	ALW-II-38-3	SKBR3	24	2.0	5
410	ALW-II-38-3	SKBR3	6	0.08	4
411	ALW-II-38-3	SKBR3	6	0.4	4
412	ALW-II-38-3	SKBR3	6	10.0	4
413	ALW-II-38-3	SKBR3	6	2.0	4
414	ALW-II-49-7	BT20	24	0.08	4
415	ALW-II-49-7	BT20	24	0.4	4
416	ALW-II-49-7	BT20	24	10.0	4
417	ALW-II-49-7	BT20	24	2.0	4
418	ALW-II-49-7	BT20	6	0.08	4
419	ALW-II-49-7	BT20	6	0.4	4
420	ALW-II-49-7	BT20	6	10.0	4
421	ALW-II-49-7	BT20	6	2.0	4
422	ALW-II-49-7	HS578T	24	0.08	3
423	ALW-II-49-7	HS578T	24	0.4	3
424	ALW-II-49-7	HS578T	24	10.0	3
425	ALW-II-49-7	HS578T	24	2.0	3
426	ALW-II-49-7	HS578T	6	0.08	3
427	ALW-II-49-7	HS578T	6	0.4	3
428	ALW-II-49-7	HS578T	6	10.0	3
429	ALW-II-49-7	HS578T	6	2.0	3
430	ALW-II-49-7	MCF10A	24	0.08	4
431	ALW-II-49-7	MCF10A	24	0.4	3
432	ALW-II-49-7	MCF10A	24	10.0	4
433	ALW-II-49-7	MCF10A	24	2.0	4
434	ALW-II-49-7	MCF10A	6	0.08	3
435	ALW-II-49-7	MCF10A	6	0.4	4
436	ALW-II-49-7	MCF10A	6	10.0	4
437	ALW-II-49-7	MCF10A	6	2.0	4
438	ALW-II-49-7	MCF7	24	0.08	2
439	ALW-II-49-7	MCF7	24	0.4	2
440	ALW-II-49-7	MCF7	24	10.0	7
441	ALW-II-49-7	MCF7	24	2.0	2
442	ALW-II-49-7	MCF7	6	0.08	3
443	ALW-II-49-7	MCF7	6	0.4	4
444	ALW-II-49-7	MCF7	6	10.0	8
445	ALW-II-49-7	MCF7	6	2.0	4
446	ALW-II-49-7	MDAMB231	24	0.08	4
447	ALW-II-49-7	MDAMB231	24	0.4	4
448	ALW-II-49-7	MDAMB231	24	10.0	4
449	ALW-II-49-7	MDAMB231	24	2.0	4
450	ALW-II-49-7	MDAMB231	6	0.08	4
451	ALW-II-49-7	MDAMB231	6	0.4	4
452	ALW-II-49-7	MDAMB231	6	10.0	4
453	ALW-II-49-7	MDAMB231	6	2.0	4
454	ALW-II-49-7	SKBR3	24	0.08	5
455	ALW-II-49-7	SKBR3	24	0.4	5
456	ALW-II-49-7	SKBR3	24	10.0	5
457	ALW-II-49-7	SKBR3	24	2.0	5
458	ALW-II-49-7	SKBR3	6	0.08	4
459	ALW-II-49-7	SKBR3	6	0.4	4
460	ALW-II-49-7	SKBR3	6	10.0	4
461	ALW-II-49-7	SKBR3	6	2.0	4
462	AM-580	A549	24	0.00150000001304	3
463	AM-580	A549	24	0.00449999980628	3
464	AM-580	A549	24	0.0130000002682	3
465	AM-580	A549	24	0.0412000007927	3
466	AM-580	A549	24	0.12349999695999997	3
467	AM-580	A549	24	0.370400011539	3
468	AM-580	A549	24	1.1100000143100002	3
469	AM-580	A549	24	10.0	8
470	AM-580	A549	24	3.32999992371	3
471	AM-580	A549	6	0.00150000001304	3
472	AM-580	A549	6	0.00449999980628	3
473	AM-580	A549	6	0.0130000002682	3
474	AM-580	A549	6	0.0412000007927	3
475	AM-580	A549	6	0.12349999695999997	3
476	AM-580	A549	6	0.370400011539	3
477	AM-580	A549	6	1.1100000143100002	3
478	AM-580	A549	6	10.0	10
479	AM-580	A549	6	3.32999992371	3
480	AM-580	MCF7	24	0.00150000001304	3
481	AM-580	MCF7	24	0.00449999980628	3
482	AM-580	MCF7	24	0.0130000002682	3
483	AM-580	MCF7	24	0.0412000007927	3
484	AM-580	MCF7	24	0.12349999695999997	3
485	AM-580	MCF7	24	0.3704	2
486	AM-580	MCF7	24	0.370400011539	3
487	AM-580	MCF7	24	1.1100000143100002	3
488	AM-580	MCF7	24	1.1111	2
489	AM-580	MCF7	24	10.0	15
490	AM-580	MCF7	24	3.32999992371	3
491	AM-580	MCF7	24	3.3333	2
492	AM-580	MCF7	6	0.00150000001304	3
493	AM-580	MCF7	6	0.00449999980628	3
494	AM-580	MCF7	6	0.0130000002682	3
495	AM-580	MCF7	6	0.0412000007927	3
496	AM-580	MCF7	6	0.12349999695999997	3
497	AM-580	MCF7	6	0.3704	3
498	AM-580	MCF7	6	0.370400011539	3
499	AM-580	MCF7	6	1.1100000143100002	3
500	AM-580	MCF7	6	1.1111	3
501	AM-580	MCF7	6	10.0	14
502	AM-580	MCF7	6	3.32999992371	3
503	AM-580	MCF7	6	3.3333	3
504	AM-580	NKDBA	24	0.3704	2
505	AM-580	NKDBA	24	1.1111	2
506	AM-580	NKDBA	24	10.0	2
507	AM-580	NKDBA	24	3.3333	1
508	ANG	VCAP	4	500.0	1
509	ANG	VCAP	4	500.000000	2
510	ANGPT2	VCAP	4	200.0	1
511	ANGPT2	VCAP	4	200.000000	2
512	APCS	VCAP	4	2000.0	1
513	APCS	VCAP	4	2000.000000	2
514	APOA4	VCAP	4	100000.0	1
515	APOA4	VCAP	4	100000.000000	2
516	APOE	VCAP	4	1000.0	1
517	APOE	VCAP	4	1000.000000	2
518	AR	BT20	1	1.0	8
519	AR	BT20	1	100.0	8
520	AR	BT20	24	1.0	9
521	AR	BT20	24	100.0	9
522	AR	BT20	3	1.0	9
523	AR	BT20	3	100.0	9
524	AR	BT20	6	1.0	7
525	AR	BT20	6	100.0	3
526	AR	HS578T	1	1.0	8
527	AR	HS578T	1	100.0	8
528	AR	HS578T	24	1.0	8
529	AR	HS578T	24	100.0	9
530	AR	HS578T	3	1.0	9
531	AR	HS578T	3	100.0	9
532	AR	HS578T	6	1.0	1
533	AR	HS578T	6	100.0	1
534	AR	MCF10A	1	1.0	5
535	AR	MCF10A	1	100.0	5
536	AR	MCF10A	24	1.0	5
537	AR	MCF10A	24	100.0	5
538	AR	MCF10A	6	1.0	5
539	AR	MCF10A	6	100.0	5
540	AR	MCF7	1	1.0	8
541	AR	MCF7	1	100.0	8
542	AR	MCF7	24	1.0	8
543	AR	MCF7	24	100.0	9
544	AR	MCF7	3	1.0	9
545	AR	MCF7	3	100.0	9
546	AR	MCF7	6	1.0	7
547	AR	MCF7	6	100.0	6
548	AR	MDAMB231	1	1.0	8
549	AR	MDAMB231	1	100.0	8
550	AR	MDAMB231	24	1.0	9
551	AR	MDAMB231	24	100.0	9
552	AR	MDAMB231	3	1.0	9
553	AR	MDAMB231	3	100.0	9
554	AR	MDAMB231	6	1.0	1
555	AR	MDAMB231	6	100.0	1
556	AR	SKBR3	1	1.0	8
557	AR	SKBR3	1	100.0	8
558	AR	SKBR3	24	1.0	9
559	AR	SKBR3	24	100.0	9
560	AR	SKBR3	3	1.0	4
561	AR	SKBR3	3	100.0	4
562	AR	SKBR3	6	1.0	7
563	AR	SKBR3	6	100.0	7
564	AR-A014418	HEPG2	24	2.4975	3
565	AR-A014418	HEPG2	24	9.99	3
566	AR-A014418	HEPG2	6	10.0	3
567	AR-A014418	HEPG2	6	2.4975	3
568	AR-A014418	HEPG2	6	9.99	3
569	AR-A014418	HUH7	24	2.4975	3
570	AR-A014418	HUH7	24	9.99	3
571	AR-A014418	HUH7	6	2.4975	3
572	AR-A014418	HUH7	6	9.99	2
573	AR-A014418	PHH	24	10.0	3
574	AR-A014418	PHH	24	2.4975	2
575	AR-A014418	PHH	24	9.99	3
576	AR-A014418	PHH	6	2.4975	3
577	AR-A014418	PHH	6	9.99	3
578	AREG	VCAP	4	30.0	1
579	AREG	VCAP	4	30.000000	2
580	ARP-101	MCF7	24	0.3704	3
581	ARP-101	MCF7	24	1.1111	3
582	ARP-101	MCF7	24	10.0	11
583	ARP-101	MCF7	24	3.3333	3
584	ARP-101	MCF7	6	0.3704	3
585	ARP-101	MCF7	6	1.1111	3
586	ARP-101	MCF7	6	10.0	11
587	ARP-101	MCF7	6	3.3333	3
588	ARP-101	NKDBA	24	0.3704	4
589	ARP-101	NKDBA	24	1.1111	4
590	ARP-101	NKDBA	24	10.0	3
