	drug	cell line	time point	drug dose	count
0	1,2-propylene-glycol	HA1E	24	10.0	6
1	1,2-propylene-glycol	HA1E	24	19.4	12
2	1,2-propylene-glycol	HA1E	6	10.0	3
3	1,2-propylene-glycol	HA1E	6	19.4	6
4	15-delta-prostaglandin-j2	VCAP	24	1.0	4
5	15-delta-prostaglandin-j2	VCAP	24	10.0	15
6	15-delta-prostaglandin-j2	VCAP	24	20.0	4
7	15-delta-prostaglandin-j2	VCAP	24	5.0	4
8	15-delta-prostaglandin-j2	VCAP	48	1.0	4
9	15-delta-prostaglandin-j2	VCAP	48	20.0	4
10	15-delta-prostaglandin-j2	VCAP	48	5.0	4
11	15-delta-prostaglandin-j2	VCAP	6	1.0	4
12	15-delta-prostaglandin-j2	VCAP	6	10.0	14
13	15-delta-prostaglandin-j2	VCAP	6	20.0	4
14	15-delta-prostaglandin-j2	VCAP	6	5.0	4
15	3-amino-benzamide	A549	24	0.0015	3
16	3-amino-benzamide	A549	24	0.0045	3
17	3-amino-benzamide	A549	24	0.013	3
18	3-amino-benzamide	A549	24	0.0412	3
19	3-amino-benzamide	A549	24	0.1235	3
20	3-amino-benzamide	A549	24	0.3704	3
21	3-amino-benzamide	A549	24	1.11	3
22	3-amino-benzamide	A549	24	10.0	3
23	3-amino-benzamide	A549	24	3.33	3
24	3-amino-benzamide	A549	24	36.72	3
25	3-amino-benzamide	A549	6	0.0015	3
26	3-amino-benzamide	A549	6	0.0045	3
27	3-amino-benzamide	A549	6	0.013	3
28	3-amino-benzamide	A549	6	0.0412	3
29	3-amino-benzamide	A549	6	0.1235	3
30	3-amino-benzamide	A549	6	0.3704	3
31	3-amino-benzamide	A549	6	1.11	3
32	3-amino-benzamide	A549	6	10.0	3
33	3-amino-benzamide	A549	6	3.33	3
34	3-amino-benzamide	A549	6	36.72	4
35	3-amino-benzamide	MCF7	24	0.001500	3
36	3-amino-benzamide	MCF7	24	0.004500	3
37	3-amino-benzamide	MCF7	24	0.013000	3
38	3-amino-benzamide	MCF7	24	0.041200	3
39	3-amino-benzamide	MCF7	24	0.123500	3
40	3-amino-benzamide	MCF7	24	0.370400	3
41	3-amino-benzamide	MCF7	24	1.110000	3
42	3-amino-benzamide	MCF7	24	10.000000	3
43	3-amino-benzamide	MCF7	24	3.330000	2
44	3-amino-benzamide	MCF7	24	36.72	6
45	3-amino-benzamide	MCF7	6	0.001500	3
46	3-amino-benzamide	MCF7	6	0.004500	3
47	3-amino-benzamide	MCF7	6	0.013000	3
48	3-amino-benzamide	MCF7	6	0.041200	3
49	3-amino-benzamide	MCF7	6	0.123500	3
50	3-amino-benzamide	MCF7	6	0.370400	3
51	3-amino-benzamide	MCF7	6	1.110000	3
52	3-amino-benzamide	MCF7	6	10.000000	3
53	3-amino-benzamide	MCF7	6	3.330000	3
54	3-amino-benzamide	MCF7	6	36.72	5
55	7-nitroindazole	A375	6	10.0	4
56	7-nitroindazole	A375	6	80.0	6
57	7-nitroindazole	A549	24	10.0	2
58	7-nitroindazole	A549	24	80.0	3
59	7-nitroindazole	A549	6	10.0	2
60	7-nitroindazole	A549	6	80.0	4
61	7-nitroindazole	HA1E	6	10.0	3
62	7-nitroindazole	HA1E	6	80.0	5
63	7-nitroindazole	HCC515	6	10.0	3
64	7-nitroindazole	HCC515	6	80.0	4
65	7-nitroindazole	HEPG2	6	10.0	3
66	7-nitroindazole	HEPG2	6	80.0	3
67	7-nitroindazole	HT29	6	10.0	5
68	7-nitroindazole	HT29	6	80.0	6
69	7-nitroindazole	MCF7	24	10.0	4
70	7-nitroindazole	MCF7	24	80.0	6
71	7-nitroindazole	MCF7	6	10.0	3
72	7-nitroindazole	MCF7	6	80.0	5
73	7-nitroindazole	PC3	24	10.0	5
74	7-nitroindazole	PC3	24	80.0	6
75	7-nitroindazole	PC3	6	10.0	5
76	7-nitroindazole	PC3	6	80.0	4
77	7-nitroindazole	VCAP	24	10.0	5
78	7-nitroindazole	VCAP	24	80.0	5
79	7-nitroindazole	VCAP	6	10.0	4
80	7-nitroindazole	VCAP	6	80.0	4
81	A-23187	HEPG2	24	10.0	2
82	A-23187	HEPG2	24	2.5	3
83	A-23187	HEPG2	6	10.0	2
84	A-23187	HEPG2	6	2.5	3
85	A-23187	HUH7	24	10.0	2
86	A-23187	HUH7	24	2.5	3
87	A-23187	HUH7	6	10.0	3
