	loss	val_loss	learning_rate	epochs	kappa
0	681.8754718487079	681.1949979341947	1e-05	0	0.01
1	680.3681194598859	679.596196101262	1e-05	1	0.01
2	678.8973259559044	678.3321814903846	1e-05	2	0.01
3	677.6890282264122	676.950185922476	1e-05	3	0.01
4	676.2960968017578	675.8722393329327	1e-05	4	0.01
5	675.1419431246244	674.5174184945913	1e-05	5	0.01
6	673.9792093130259	673.2059936523438	1e-05	6	0.01
7	672.8114753136268	671.7036837064303	1e-05	7	0.01
8	671.7549720177284	670.1945612980769	1e-05	8	0.01
9	670.7062495304988	668.8962214543269	1e-05	9	0.01
10	669.652817946214	667.5044414813702	1e-05	10	0.01
11	668.6717482346755	666.2455538236178	1e-05	11	0.01
12	667.7280015211838	665.2105853740985	1e-05	12	0.01
13	666.7169612004207	664.3046687199519	1e-05	13	0.01
14	665.8661569448618	663.0367995042068	1e-05	14	0.01
15	664.8815190241887	662.530517578125	1e-05	15	0.01
16	664.0250866229718	661.7162475585938	1e-05	16	0.01
17	663.2133284348708	660.919424203726	1e-05	17	0.01
18	662.4011735182542	660.095933180589	1e-05	18	0.01
19	661.6432624230018	659.6260375976562	1e-05	19	0.01
20	660.9320561335637	658.8115516075721	1e-05	20	0.01
21	660.1169926570012	658.4176917442909	1e-05	21	0.01
22	659.3710233248197	657.707270695613	1e-05	22	0.01
23	658.7100196251503	657.0823552058293	1e-05	23	0.01
24	658.0665834867037	656.4733088566707	1e-05	24	0.01
25	657.4952850341797	655.8807701697716	1e-05	25	0.01
26	656.9168548583984	655.4000244140625	1e-05	26	0.01
27	656.3337719257062	654.6124643179087	1e-05	27	0.01
28	655.6697810246394	654.3163733849159	1e-05	28	0.01
29	655.217060969426	653.9738300030048	1e-05	29	0.01
30	654.6068267822266	653.321786733774	1e-05	30	0.01
31	654.1287923959585	652.8193875826322	1e-05	31	0.01
32	653.636971106896	652.5203857421875	1e-05	32	0.01
33	653.1142683762771	652.1697669396034	1e-05	33	0.01
34	652.7267209566556	651.566908616286	1e-05	34	0.01
35	652.2327857384315	651.1838097205529	1e-05	35	0.01
36	651.9485884446365	650.9094473031851	1e-05	36	0.01
37	651.5593954233022	650.6600576547476	1e-05	37	0.01
38	651.1508166973407	649.9966994065505	1e-05	38	0.01
39	650.8125575138972	649.9957791841947	1e-05	39	0.01
40	650.3876683161809	649.615234375	1e-05	40	0.01
41	650.0258624737079	649.2703200120193	1e-05	41	0.01
42	649.7537184495193	648.859867976262	1e-05	42	0.01
43	649.4826014592097	648.5332312950721	1e-05	43	0.01
44	649.1671295166016	647.9973895733173	1e-05	44	0.01
45	648.9726691612831	647.9632333608774	1e-05	45	0.01
46	648.6571408785306	647.8880615234375	1e-05	46	0.01
47	648.3624748816857	647.5198505108173	1e-05	47	0.01
48	648.1397294264573	647.2223369891827	1e-05	48	0.01
49	647.8566589355469	647.2478778545673	1e-05	49	0.01
50	647.733140211839	646.9044658954327	1e-05	50	0.01
51	647.4459263728215	646.6672034630409	1e-05	51	0.01
52	647.1898627647987	646.5403348482572	1e-05	52	0.01
53	646.9847142146184	646.3076876126803	1e-05	53	0.01
54	646.8279935396635	646.0756178635818	1e-05	54	0.01
55	646.7056884765625	646.022690993089	1e-05	55	0.01
56	646.3931215726412	645.746596116286	1e-05	56	0.01
57	646.247556246244	645.5965670072115	1e-05	57	0.01
58	646.0765345646785	645.2227736253005	1e-05	58	0.01
59	645.8504051795372	645.1578697791466	1e-05	59	0.01
60	645.7291576678937	644.9733605018029	1e-05	60	0.01
61	645.5605715238131	644.7658174954928	1e-05	61	0.01
62	645.339613694411	644.881112905649	1e-05	62	0.01
63	645.3185612605168	644.4975914588341	1e-05	63	0.01
64	645.0820582463191	644.4068180964543	1e-05	64	0.01
65	644.9569901686448	644.128892164964	1e-05	65	0.01
66	644.8873314490685	644.539048414964	1e-05	66	0.01
67	644.6781569260818	644.1405639648438	1e-05	67	0.01
68	644.5712115948016	644.3440739558293	1e-05	68	0.01
69	644.3760634202224	644.0028498722957	1e-05	69	0.01
70	644.2594686654897	643.9249032827524	1e-05	70	0.01
71	644.2889815110427	643.7747427133413	1e-05	71	0.01
72	644.112302339994	643.4389319786659	1e-05	72	0.01
73	644.0091294508713	643.4748769906851	1e-05	73	0.01
74	643.8389810415415	643.465571476863	1e-05	74	0.01
75	643.7349642240084	643.24755859375	1e-05	75	0.01
76	643.6593158428485	643.2411217322716	1e-05	76	0.01
77	643.679463313176	642.9927696814904	1e-05	77	0.01
78	643.533198429988	642.8498957707332	1e-05	78	0.01
79	643.388181246244	642.8076829176682	1e-05	79	0.01
80	643.2703117957482	643.0553025465745	1e-05	80	0.01
81	643.190165593074	642.6679499699519	1e-05	81	0.01
82	643.0090825007512	642.593745304988	1e-05	82	0.01
83	643.0405543400691	642.454848069411	1e-05	83	0.01
84	642.9147878793569	642.4617403470553	1e-05	84	0.01
85	642.777823814979	642.3875544621394	1e-05	85	0.01
86	642.7868898831881	642.3057438777043	1e-05	86	0.01
87	642.7151688795823	642.0345365084135	1e-05	87	0.01
88	642.5592217078575	642.1368502103365	1e-05	88	0.01
89	642.4469393216647	642.0215407151443	1e-05	89	0.01
90	642.3628798264724	642.0198364257812	1e-05	90	0.01
91	642.3349034236028	641.9699472280649	1e-05	91	0.01
92	642.2721111591046	641.8078378530649	1e-05	92	0.01
93	642.1483600323016	641.8705585186298	1e-05	93	0.01
94	642.2029289832482	641.7951894906851	1e-05	94	0.01
95	642.0985811673678	641.762953538161	1e-05	95	0.01
96	641.9302720289963	641.4945397010216	1e-05	96	0.01
97	641.9356020413912	641.432138296274	1e-05	97	0.01
98	641.8588702862079	641.6554095928485	1e-05	98	0.01
99	641.8872657189003	641.4056396484375	1e-05	99	0.01
