	loss	val_loss	learning_rate	epochs	kappa
0	699.9506865001861	691.1675438514122	1e-05	0	0.01
1	685.4084141322545	680.3085045447716	1e-05	1	0.01
2	676.0626860119048	673.3055396446815	1e-05	2	0.01
3	669.7064005533854	668.1564378004807	1e-05	3	0.01
4	665.0712954566592	664.5994051419772	1e-05	4	0.01
5	661.6973999023437	661.9176893967849	1e-05	5	0.01
6	659.0431745256697	659.2581904484675	1e-05	6	0.01
7	656.8995878673735	657.562509390024	1e-05	7	0.01
8	655.1875395275298	655.603036733774	1e-05	8	0.01
9	653.6877081008184	654.0740755521334	1e-05	9	0.01
10	652.3319452194941	652.5897662823016	1e-05	10	0.01
11	651.1877034505209	651.378910945012	1e-05	11	0.01
12	650.1739083426339	650.1891502967247	1e-05	12	0.01
13	649.1679623558408	649.1583322378306	1e-05	13	0.01
14	648.3205769856771	648.3369563176082	1e-05	14	0.01
15	647.5110874720982	647.4878845214844	1e-05	15	0.01
16	646.767572312128	646.7220928485577	1e-05	16	0.01
17	646.0605747767858	645.9261920635516	1e-05	17	0.01
18	645.3889956519718	645.2021155724159	1e-05	18	0.01
19	644.8120384579613	644.7189002403846	1e-05	19	0.01
20	644.23310546875	644.1734501765325	1e-05	20	0.01
21	643.6855724516369	643.4865558330829	1e-05	21	0.01
22	643.1524966285342	642.9997629018931	1e-05	22	0.01
23	642.6758940197172	642.5867591271034	1e-05	23	0.01
24	642.2137026832218	642.0711012620193	1e-05	24	0.01
25	641.8138206845238	641.6107529860276	1e-05	25	0.01
26	641.4071818033855	641.2283043494591	1e-05	26	0.01
27	640.9883196149553	640.7246492826022	1e-05	27	0.01
28	640.6628516787574	640.4240088829628	1e-05	28	0.01
29	640.2745733351935	640.0562673715444	1e-05	29	0.01
30	639.9556373232887	639.7794330303485	1e-05	30	0.01
31	639.6097970145089	639.4310514009916	1e-05	31	0.01
32	639.3377609979539	639.1174551156851	1e-05	32	0.01
33	639.0653733026413	638.8115492600662	1e-05	33	0.01
34	638.7966000511533	638.5235478327825	1e-05	34	0.01
35	638.5288934616815	638.270517202524	1e-05	35	0.01
36	638.2161493210565	638.0697749211238	1e-05	36	0.01
37	638.0030511765253	637.7881915752704	1e-05	37	0.01
38	637.7910487583705	637.6350754957932	1e-05	38	0.01
39	637.5154168991816	637.30125779372	1e-05	39	0.01
40	637.3351568312872	637.1603463979868	1e-05	40	0.01
41	637.1213245210193	636.9801260141226	1e-05	41	0.01
42	636.861664109003	636.7789048414963	1e-05	42	0.01
43	636.7158185686384	636.5213576096755	1e-05	43	0.01
44	636.529144577753	636.3049715482272	1e-05	44	0.01
45	636.328415062314	636.2205716646635	1e-05	45	0.01
46	636.1552141462054	635.9738839956431	1e-05	46	0.01
47	635.9885724748884	635.8355360764724	1e-05	47	0.01
48	635.8153948102679	635.6346224271334	1e-05	48	0.01
49	635.6720912388392	635.479494535006	1e-05	49	0.01
50	635.4885509672619	635.3956204927885	1e-05	50	0.01
51	635.372989327567	635.1997469388522	1e-05	51	0.01
52	635.1692516508557	635.0848905123197	1e-05	52	0.01
53	635.052130998884	634.9253680889423	1e-05	53	0.01
54	634.905081031436	634.866708608774	1e-05	54	0.01
55	634.8209362211682	634.6080486591046	1e-05	55	0.01
56	634.6553170340402	634.4666630671575	1e-05	56	0.01
57	634.5310163225446	634.2825106107272	1e-05	57	0.01
58	634.3886387416295	634.3179368239182	1e-05	58	0.01
59	634.2994134812128	634.1916879507212	1e-05	59	0.01
60	634.1802164713541	634.0325434758113	1e-05	60	0.01
61	634.0253220331101	633.9500990647537	1e-05	61	0.01
62	633.9086745489211	633.8391418457031	1e-05	62	0.01
63	633.8199067615327	633.6903287447416	1e-05	63	0.01
64	633.7285179501488	633.5772564227765	1e-05	64	0.01
65	633.6346237909227	633.4622427133413	1e-05	65	0.01
66	633.5275692894345	633.3914630596454	1e-05	66	0.01
67	633.4052839006696	633.2423400878906	1e-05	67	0.01
68	633.3416521344866	633.1272676908053	1e-05	68	0.01
69	633.2652675083706	633.016345684345	1e-05	69	0.01
70	633.1480997721354	633.0246159480168	1e-05	70	0.01
71	633.0705758231027	632.9182715782753	1e-05	71	0.01
72	632.9599946521578	632.8575955904447	1e-05	72	0.01
73	632.8825747535342	632.7955674391526	1e-05	73	0.01
74	632.7945295061384	632.6394348144531	1e-05	74	0.01
75	632.7459286644345	632.5510911207932	1e-05	75	0.01
76	632.6617170061384	632.5867309570312	1e-05	76	0.01
77	632.5851248604911	632.3398672250601	1e-05	77	0.01
78	632.48016124907	632.3220754770132	1e-05	78	0.01
79	632.424948265439	632.2396498460037	1e-05	79	0.01
80	632.3526460193452	632.2135267991287	1e-05	80	0.01
81	632.3157534644718	632.1238450270432	1e-05	81	0.01
82	632.1817644391741	632.0571711613582	1e-05	82	0.01
83	632.1403087797619	632.009756234976	1e-05	83	0.01
84	632.112448265439	631.9312697190505	1e-05	84	0.01
85	632.0359357561384	631.8550884540265	1e-05	85	0.01
86	631.9463605608258	631.7967036320613	1e-05	86	0.01
87	631.9012625558036	631.7492135854868	1e-05	87	0.01
88	631.8192388625372	631.7301565317007	1e-05	88	0.01
89	631.7653488885788	631.680422269381	1e-05	89	0.01
90	631.7165713355655	631.5021010178787	1e-05	90	0.01
91	631.6541858491444	631.4097360464243	1e-05	91	0.01
92	631.607562546503	631.4156470665565	1e-05	92	0.01
