	loss	val_loss	learning_rate	epochs	kappa
0	634.6528457900604	647.6227135291466	0.001	0	0.01
1	634.3420928437675	640.9148841271034	0.001	1	0.01
2	634.1758554821644	641.0488562950721	0.001	2	0.01
3	634.0839555314685	642.4117009089543	0.001	3	0.01
4	633.9188198671169	642.6711660531851	0.001	4	0.01
5	633.8386859727982	641.3744600736178	0.001	5	0.01
6	633.8900165873285	640.447256234976	0.001	6	0.01
7	633.7376741770748	651.4180157001202	0.001	7	0.01
8	633.6661130268681	657.6195209209735	0.001	8	0.01
9	633.6008958287923	657.352294921875	0.001	9	0.01
10	633.5428202393518	663.9397583007812	0.001	10	0.01
11	633.546355888296	660.2880624624399	0.001	11	0.01
12	633.5256476058672	667.6344416691707	0.001	12	0.01
13	633.4834732426185	644.373530461238	0.001	13	0.01
14	633.457075167332	649.7034442608173	0.001	14	0.01
15	633.4489743736133	646.267324594351	0.001	15	0.01
16	633.4415247507559	657.361318734976	0.001	16	0.01
17	633.3242907525855	652.9561908428485	0.001	17	0.01
18	633.3181406514727	658.823002741887	0.001	18	0.01
19	633.2291382704115	661.0788949819712	0.001	19	0.01
20	633.1254286154549	657.3627741887019	0.001	20	0.01
21	633.1907457273363	642.6197838416466	0.001	21	0.01
22	633.1520360998087	640.448500413161	0.001	22	0.01
23	633.0618540660555	640.3179649939904	0.001	23	0.01
24	633.0809260407557	640.050048828125	0.001	24	0.01
25	633.1118365780092	642.0995436448318	0.001	25	0.01
26	633.0305827255755	640.401108961839	0.001	26	0.01
27	633.0403772526888	640.4873657226562	0.001	27	0.01
28	633.0622195485149	640.4850792518029	0.001	28	0.01
29	633.0390905691041	640.2689960186298	0.001	29	0.01
30	632.9381659629972	639.6983642578125	0.001	30	0.01
31	632.8919135398319	640.6765324519231	0.001	31	0.01
32	632.8761501425957	641.3480083759015	0.001	32	0.01
33	632.7722428952521	641.4176729642428	0.001	33	0.01
34	632.924033993015	642.6275540865385	0.001	34	0.01
35	632.7831136556908	644.5110990084135	0.001	35	0.01
36	632.7522466241235	642.6839177058293	0.001	36	0.01
37	632.7421857169106	643.1646118164062	0.001	37	0.01
38	632.7446299225007	642.9695763221154	0.001	38	0.01
39	632.6042366005187	645.3824932391827	0.001	39	0.01
40	632.640145427911	642.9928494966947	0.001	40	0.01
41	632.6782062671815	643.2587139423077	0.001	41	0.01
42	632.5607868730218	640.5498328575721	0.001	42	0.01
43	632.5257488443805	640.3553701547476	0.001	43	0.01
44	632.6586591869539	640.3767841045673	0.001	44	0.01
45	632.6694981070734	640.8264347956731	0.001	45	0.01
46	632.47069629712	641.5018967848557	0.001	46	0.01
47	632.5070679297125	641.3599337064303	0.001	47	0.01
48	632.5647956560261	641.8584923377404	0.001	48	0.01
49	632.5675297611982	641.2156231219952	0.001	49	0.01
50	632.4850611114348	641.0706270658053	0.001	50	0.01
51	632.5269667518209	640.6058772160457	0.001	51	0.01
52	632.6300120309489	640.5858201246995	0.001	52	0.01
53	632.5261072957281	641.4740647536057	0.001	53	0.01
54	632.4886607296228	644.1153658353365	0.001	54	0.01
55	632.3834530909696	645.7212806114784	0.001	55	0.01
56	632.4490822921176	643.0081082857572	0.001	56	0.01
57	632.4927736197051	644.2964853140024	0.001	57	0.01
58	632.6190962893124	643.2684232271635	0.001	58	0.01
59	632.4285337276	642.0303767277644	0.001	59	0.01
60	632.4133946354542	641.1357985276443	0.001	60	0.01
61	632.4328716623063	640.8805260291466	0.001	61	0.01
62	632.4824401063875	641.0347759540265	0.001	62	0.01
63	632.3767275493918	641.3411020132212	0.001	63	0.01
64	632.429125173344	645.736079289363	0.001	64	0.01
65	632.3257793361705	641.7641930213341	0.001	65	0.01
66	632.3338884390189	642.6212721604568	0.001	66	0.01
67	632.26007512695	642.1721520057091	0.001	67	0.01
68	632.3854330398634	643.3265427809495	0.001	68	0.01
69	632.3963936162896	642.3941040039062	0.001	69	0.01
70	632.2728330318364	642.1468224158654	0.001	70	0.01
71	632.2647597346842	641.1525550255409	0.001	71	0.01
72	632.2400960877551	641.0412269005409	0.001	72	0.01
73	632.2746047772171	641.0554903470553	0.001	73	0.01
74	632.2385909323227	641.8496798001803	0.001	74	0.01
75	632.3365124275272	641.4368708683894	0.001	75	0.01
76	632.4598783615473	641.5760544996995	0.001	76	0.01
77	632.4795555250228	641.3142606295072	0.001	77	0.01
78	632.3745814079559	641.8766667292668	0.001	78	0.01
79	632.466827557565	646.2090594951923	0.001	79	0.01
80	632.4396958363864	642.0053006685697	0.001	80	0.01
81	632.2770772468139	649.2608689528245	0.001	81	0.01
82	632.3171320113187	646.4342041015625	0.001	82	0.01
83	632.2368922873117	642.4404907226562	0.001	83	0.01
84	632.1622210013713	641.6677058293269	0.001	84	0.01
85	632.2099330636686	642.3711313100962	0.001	85	0.01
86	632.1853119241752	641.6421227088341	0.001	86	0.01
87	632.1837749089427	641.921391413762	0.001	87	0.01
88	632.1652045063425	642.2913067157452	0.001	88	0.01
89	632.1915176367689	642.5673311673678	0.001	89	0.01
90	632.2206949119796	642.824458195613	0.001	90	0.01
91	632.1584878435631	643.5230149489182	0.001	91	0.01
92	632.1489302856629	644.0150193434495	0.001	92	0.01
93	632.1749381563686	643.774653508113	0.001	93	0.01
94	632.1029198499868	642.0553401066707	0.001	94	0.01
95	632.1894505145468	642.2392343374399	0.001	95	0.01
96	632.0918037078776	642.316392164964	0.001	96	0.01
97	632.0867164404518	642.3485999474159	0.001	97	0.01
98	632.1312843806869	641.5355365459735	0.001	98	0.01
99	632.060981748944	641.4268141526443	0.001	99	0.01
