	loss	val_loss	learning_rate	epochs	kappa
0	680.5510538736979	678.5264892578125	1e-05	0	0.01
1	676.7751342773438	675.1135535606971	1e-05	1	0.01
2	673.473267764137	671.5671715369591	1e-05	2	0.01
3	670.4692376999628	667.8952801044171	1e-05	3	0.01
4	667.6490379696801	664.2800105168269	1e-05	4	0.01
5	665.037890625	661.3154789851262	1e-05	5	0.01
6	662.6042294456845	659.1675720214844	1e-05	6	0.01
7	660.3568830217633	657.4079261192909	1e-05	7	0.01
8	658.3764625186012	655.7081627478966	1e-05	8	0.01
9	656.5015130905878	654.305649977464	1e-05	9	0.01
10	654.88849109468	653.0517085148738	1e-05	10	0.01
11	653.4332810174851	651.5608191856971	1e-05	11	0.01
12	652.179049827939	650.6552358774038	1e-05	12	0.01
13	651.0387026832217	649.8293926532452	1e-05	13	0.01
14	649.9583344959077	648.7440655048077	1e-05	14	0.01
15	649.0584426153274	647.961658184345	1e-05	15	0.01
16	648.2774047851562	647.2536902794471	1e-05	16	0.01
17	647.5474179222471	646.687983586238	1e-05	17	0.01
18	646.9040817987351	646.0050870455228	1e-05	18	0.01
19	646.3236862909226	645.7088928222656	1e-05	19	0.01
20	645.8300159272693	644.9863069974459	1e-05	20	0.01
21	645.2785284133184	644.93116408128	1e-05	21	0.01
22	644.8454956054687	644.1715792142428	1e-05	22	0.01
23	644.4934279668898	643.8873361440806	1e-05	23	0.01
24	644.1219104585193	643.614016019381	1e-05	24	0.01
25	643.7549572172619	643.1955261230469	1e-05	25	0.01
26	643.4678199404761	642.99658203125	1e-05	26	0.01
27	643.2016020275298	642.6228238619291	1e-05	27	0.01
28	643.0266712007068	642.2925015963041	1e-05	28	0.01
29	642.7251400902157	642.311032808744	1e-05	29	0.01
30	642.4796247209821	642.0779254619891	1e-05	30	0.01
31	642.2798002697173	641.9643625112681	1e-05	31	0.01
32	642.0126767113095	641.6546959510216	1e-05	32	0.01
33	641.8627685546875	641.3609149639423	1e-05	33	0.01
34	641.7442400251116	641.3154508150541	1e-05	34	0.01
35	641.6188464936756	641.1327678973859	1e-05	35	0.01
36	641.3985996791295	641.0682983398438	1e-05	36	0.01
37	641.2184337797619	640.7537301870493	1e-05	37	0.01
38	641.1428269159226	640.7230318509615	1e-05	38	0.01
39	641.0301565987724	640.7332904522235	1e-05	39	0.01
40	640.8928257533482	640.5196157602163	1e-05	40	0.01
41	640.7837181454613	640.3656334510216	1e-05	41	0.01
42	640.7425885881696	640.1835397573618	1e-05	42	0.01
43	640.4983346121652	640.0704275277944	1e-05	43	0.01
44	640.4364548456101	640.043212890625	1e-05	44	0.01
45	640.3334577287947	640.0286607008713	1e-05	45	0.01
46	640.1983101981027	639.8413320688101	1e-05	46	0.01
47	640.1296613420759	639.693594125601	1e-05	47	0.01
48	640.1104253859747	639.4384413499099	1e-05	48	0.01
49	639.9994123186384	639.674084003155	1e-05	49	0.01
50	639.9030866350446	639.5029015174279	1e-05	50	0.01
51	639.879601469494	639.3648728590745	1e-05	51	0.01
52	639.7886939639137	639.3860896183894	1e-05	52	0.01
53	639.6648030598958	639.3458862304688	1e-05	53	0.01
54	639.699991280692	639.0991610013522	1e-05	54	0.01
55	639.5313749767486	639.2833557128906	1e-05	55	0.01
56	639.5381190708705	639.1156850961538	1e-05	56	0.01
57	639.4546741303943	639.0367854191707	1e-05	57	0.01
58	639.3090907505581	639.0410367525541	1e-05	58	0.01
59	639.3300252278646	638.8636991060697	1e-05	59	0.01
60	639.288137672061	638.9345116248497	1e-05	60	0.01
61	639.2570672898065	638.9043461726262	1e-05	61	0.01
62	639.1717221214658	638.8684363731971	1e-05	62	0.01
63	639.1823928106398	638.6722200833834	1e-05	63	0.01
64	639.0780825660343	638.6444608248197	1e-05	64	0.01
65	639.0309517996652	638.5824373685397	1e-05	65	0.01
66	639.0656592959449	638.6959463266226	1e-05	66	0.01
67	638.8833972749256	638.5477975698618	1e-05	67	0.01
68	638.8940627325148	638.5975130521334	1e-05	68	0.01
69	638.8171485537574	638.3354961688702	1e-05	69	0.01
70	638.8352265857515	638.4173701359675	1e-05	70	0.01
71	638.8175141834078	638.477309006911	1e-05	71	0.01
72	638.7128656296503	638.510512131911	1e-05	72	0.01
73	638.6964622860863	638.3821833683894	1e-05	73	0.01
74	638.6772705078125	638.3116032527043	1e-05	74	0.01
75	638.6193254743304	638.1304250863882	1e-05	75	0.01
76	638.6104253859747	638.2621741661659	1e-05	76	0.01
77	638.5325392950149	638.18553513747	1e-05	77	0.01
78	638.4226603190104	638.1067810058594	1e-05	78	0.01
79	638.4187616257441	638.08983201247	1e-05	79	0.01
80	638.437976655506	638.0456754244291	1e-05	80	0.01
81	638.4134294782366	638.2138084998497	1e-05	81	0.01
82	638.2845685686384	637.9279550405649	1e-05	82	0.01
83	638.2716012137276	638.005375788762	1e-05	83	0.01
84	638.2810639880952	638.0087608924279	1e-05	84	0.01
85	638.269674827939	638.0567814753606	1e-05	85	0.01
86	638.2199834914435	637.8551400991587	1e-05	86	0.01
87	638.169384765625	637.8646991436298	1e-05	87	0.01
88	638.1904221307664	637.8906696026141	1e-05	88	0.01
89	638.1434076218378	637.8163663423978	1e-05	89	0.01
90	638.0814290364583	637.860107421875	1e-05	90	0.01
91	638.0711059570312	637.7377108060397	1e-05	91	0.01
92	637.9750964936756	637.7248722956731	1e-05	92	0.01
93	637.9400640578497	637.6346811147837	1e-05	93	0.01
94	637.9425531296503	637.6824505145734	1e-05	94	0.01
95	637.9433430989583	637.7740854116587	1e-05	95	0.01
96	637.9170782180059	637.6816194974459	1e-05	96	0.01
97	637.8426002139137	637.5392315204327	1e-05	97	0.01
98	637.8757225399926	637.5038733849159	1e-05	98	0.01
99	637.8589663550968	637.3528442382812	1e-05	99	0.01
