	loss	val_loss	learning_rate	epochs	kappa
0	639.4733537125609	652.5828998272235	0.0001	0	0.01
1	637.4967016876313	646.7708646334135	0.0001	1	0.01
2	636.6534131349	645.7741276667668	0.0001	2	0.01
3	636.0005926704554	643.0272780198318	0.0001	3	0.01
4	635.4577456049886	641.5549926757812	0.0001	4	0.01
5	634.9116000511765	641.177983210637	0.0001	5	0.01
6	634.4326682718943	641.6106849083534	0.0001	6	0.01
7	634.0698431494634	642.2060875525841	0.0001	7	0.01
8	633.7648665539699	643.4638296274038	0.0001	8	0.01
9	633.4706768993717	643.0740356445312	0.0001	9	0.01
10	633.2447698465655	643.193373460036	0.0001	10	0.01
11	633.0375921871808	643.5034883939303	0.0001	11	0.01
12	632.7783296888734	644.0709369365985	0.0001	12	0.01
13	632.5434878672105	644.8647179236779	0.0001	13	0.01
14	632.325451604684	644.0786743164062	0.0001	14	0.01
15	632.1710377993461	643.913076547476	0.0001	15	0.01
16	632.0200602422697	642.3510319636418	0.0001	16	0.01
17	631.8882279361471	641.6551936222957	0.0001	17	0.01
18	631.7812748964323	644.2913677509015	0.0001	18	0.01
19	631.6535913177391	648.2847430889423	0.0001	19	0.01
20	631.5877038860714	645.1810960036057	0.0001	20	0.01
21	631.5297134728567	642.6327420748197	0.0001	21	0.01
22	631.4461510501176	640.9171330378606	0.0001	22	0.01
23	631.3385222432368	640.0686880258413	0.0001	23	0.01
24	631.2724708709559	641.2418964092548	0.0001	24	0.01
25	631.2377326175571	641.1158071664663	0.0001	25	0.01
26	631.1840136283912	640.0513634314904	0.0001	26	0.01
27	631.1180485001813	638.8681875375601	0.0001	27	0.01
28	631.0491343533101	637.6871995192307	0.0001	28	0.01
29	631.000693468911	636.7757943960337	0.0001	29	0.01
30	630.9261378143751	636.9852482722356	0.0001	30	0.01
31	630.8864958648049	636.5364379882812	0.0001	31	0.01
32	630.874278891955	636.456787109375	0.0001	32	0.01
33	630.810790641738	636.4651207557091	0.0001	33	0.01
34	630.7499030566526	636.1459350585938	0.0001	34	0.01
35	630.7096500433762	636.3332754281851	0.0001	35	0.01
36	630.6557257457764	637.2373798076923	0.0001	36	0.01
37	630.5725881322949	637.655517578125	0.0001	37	0.01
38	630.5538369426494	637.363023024339	0.0001	38	0.01
39	630.5377737722066	637.8472524789663	0.0001	39	0.01
40	630.4836192824196	638.2190317007212	0.0001	40	0.01
41	630.4517857378149	637.9473736102765	0.0001	41	0.01
42	630.4064759262199	636.1674992487981	0.0001	42	0.01
43	630.4155897751983	635.9329552283654	0.0001	43	0.01
44	630.390668528869	636.0722327599159	0.0001	44	0.01
45	630.3781672373485	635.6223379281851	0.0001	45	0.01
46	630.3438480072133	635.7982694185697	0.0001	46	0.01
47	630.2948063486818	635.7631084735577	0.0001	47	0.01
48	630.2424595137161	635.9705763596755	0.0001	48	0.01
49	630.217509028081	635.8803147536057	0.0001	49	0.01
50	630.185525413053	636.1081355168269	0.0001	50	0.01
51	630.1598067536626	635.8849064753606	0.0001	51	0.01
52	630.1552426092671	635.7102332481971	0.0001	52	0.01
53	630.131604304367	635.7286095252404	0.0001	53	0.01
54	630.1029113254094	635.7245060847356	0.0001	54	0.01
55	630.0828787676215	636.5006479116587	0.0001	55	0.01
56	630.0783337323688	637.5718008188101	0.0001	56	0.01
57	630.0548847497345	638.1892324594351	0.0001	57	0.01
58	630.0192575763737	637.1309251051682	0.0001	58	0.01
